Ensembl_ID,GeneSymbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation,GO_subcategories
ENSMUSG00000024042,Sik1,2894.529747,2.504854106,0.313832942,7.98148878,1.45e-15,9.11e-14,up,striated muscle cell differentiation
ENSMUSG00000030562,Nox4,114.9230265,1.660424608,0.265109216,6.263171968,3.77e-10,8.06e-09,up,striated muscle cell differentiation
ENSMUSG00000051985,Igfn1,906.1573816,1.470195104,0.459347214,3.200618311,0.001371331,0.004631535,up,striated muscle cell differentiation
ENSMUSG00000018217,Pmp22,2355.310943,1.367542429,0.457866135,2.986773482,0.002819385,0.008524304,up,striated muscle cell differentiation
ENSMUSG00000026365,Cfh,940.8610681,1.348745234,0.208365197,6.472987111,9.61e-11,2.38e-09,up,smooth muscle cell differentiation
ENSMUSG00000028854,Slc9a1,1102.84849,1.302169957,0.274302624,4.747201966,2.06e-06,1.75e-05,up,striated muscle cell differentiation
ENSMUSG00000000567,Sox9,165.7271068,1.047732309,0.237849155,4.405028513,1.06e-05,7.19e-05,up,smooth muscle cell differentiation
ENSMUSG00000030067,Foxp1,597.0106274,0.980961081,0.129677306,7.564631886,3.89e-14,1.84e-12,up,striated muscle cell differentiation
ENSMUSG00000001729,Akt1,2934.767719,0.933754514,0.264454994,3.530863602,0.000414205,0.001679117,up,striated muscle cell differentiation
ENSMUSG00000024164,C3,3132.592879,0.874418436,0.231864268,3.771251359,0.000162431,0.000749055,up,smooth muscle cell differentiation
ENSMUSG00000027470,Mylk2,76079.40418,0.848468944,0.138076997,6.144897127,8e-10,1.61e-08,up,striated muscle cell differentiation
ENSMUSG00000021200,Asb2,36431.89369,0.847776186,0.104188368,8.1369562,4.05e-16,2.8e-14,up,striated muscle cell differentiation
ENSMUSG00000061780,Cfd,1168.404008,0.832276271,0.223694503,3.720593304,0.000198755,0.000888697,up,smooth muscle cell differentiation
ENSMUSG00000022812,Gsk3b,4078.864217,0.820530967,0.220418337,3.722607566,0.000197176,0.000882611,up,striated muscle cell differentiation
ENSMUSG00000021835,Bmp4,256.7344894,0.72000835,0.242796057,2.965486172,0.003022049,0.009028781,up,smooth muscle cell differentiation; striated muscle cell differentiation
ENSMUSG00000066406,Akap13,3023.68462,0.683714525,0.124419995,5.495214213,3.9e-08,5.2e-07,up,striated muscle cell differentiation
ENSMUSG00000002910,Arrdc2,6387.496107,0.577758412,0.185079692,3.121673725,0.001798261,0.005822511,up,striated muscle cell differentiation
ENSMUSG00000000093,Tbx2,263.6290643,0.540050226,0.164016836,3.292651155,0.000992475,0.003534151,up,smooth muscle cell differentiation
ENSMUSG00000020859,Spag9,8187.232567,0.51985877,0.089246954,5.824946932,5.71e-09,9.16e-08,up,striated muscle cell differentiation
ENSMUSG00000038119,Cdon,497.3715075,-0.507459675,0.142639533,-3.557636968,0.000374206,0.001536298,down,striated muscle cell differentiation
ENSMUSG00000015605,Srf,3434.216686,-0.521317827,0.080518437,-6.474514979,9.51e-11,2.36e-09,down,smooth muscle cell differentiation
ENSMUSG00000026836,Acvr1,548.4580979,-0.557236591,0.177281951,-3.143222353,0.001670989,0.005481246,down,smooth muscle cell differentiation
ENSMUSG00000062694,Cav3,832.6187479,-0.615524609,0.155774535,-3.95138145,7.77e-05,0.000396472,down,striated muscle cell differentiation
ENSMUSG00000023411,Nfatc4,156.4702267,-0.655267375,0.209297703,-3.130791048,0.001743362,0.005686026,down,smooth muscle cell differentiation
ENSMUSG00000021868,Ppif,762.1565845,-0.68429358,0.131470134,-5.204935598,1.94e-07,2.19e-06,down,striated muscle cell differentiation
ENSMUSG00000001105,Ift20,221.2634764,-0.891758154,0.151937064,-5.86926013,4.38e-09,7.33e-08,down,striated muscle cell differentiation
ENSMUSG00000022428,Cby1,213.3829365,-1.073868975,0.160014811,-6.711059857,1.93e-11,5.51e-10,down,striated muscle cell differentiation
ENSMUSG00000009471,Myod1,535.689066,-1.21226831,0.234823248,-5.16247144,2.44e-07,2.66e-06,down,striated muscle cell differentiation
ENSMUSG00000001119,Col6a1,2489.334292,-1.236673979,0.294933198,-4.193064691,2.75e-05,0.000163352,down,striated muscle cell differentiation
ENSMUSG00000028414,Fktn,399.8664726,-1.289916172,0.174261146,-7.402201805,1.34e-13,5.63e-12,down,striated muscle cell differentiation
ENSMUSG00000000489,Pdgfb,338.9506945,-1.344595394,0.321873725,-4.177400298,2.95e-05,0.000173301,down,smooth muscle cell differentiation
ENSMUSG00000024168,Tmem204,316.3558953,-1.385531036,0.22292084,-6.215349963,5.12e-10,1.06e-08,down,smooth muscle cell differentiation
ENSMUSG00000017491,Rarb,171.0636875,-1.4923513,0.216368923,-6.897253453,5.3e-12,1.69e-10,down,striated muscle cell differentiation
ENSMUSG00000026185,Igfbp5,17016.81377,-1.581074269,0.442731967,-3.571177114,0.00035538,0.001466798,down,striated muscle cell differentiation
ENSMUSG00000063275,Hacd1,700.2733439,-2.026307011,0.210017725,-9.648266646,5.0000000000000005e-22,9.2e-20,down,striated muscle cell differentiation
