Ensembl_ID,GeneSymbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation,GO_subcategories
ENSMUSG00000042622,Maff,488.9165279,2.278756421,0.343991666,6.624452409,3.49e-11,9.38e-10,up,skeletal muscle cell differentiation
ENSMUSG00000020423,Btg2,2045.263637,2.213825381,0.315318249,7.020923746,2.2e-12,7.61e-11,up,skeletal muscle cell differentiation
ENSMUSG00000031609,Sap30,338.6938524,1.708175699,0.287453709,5.942437493,2.81e-09,4.94e-08,up,skeletal muscle cell differentiation
ENSMUSG00000022346,Myc,297.6203608,1.399842197,0.292285796,4.78929259,1.67e-06,1.45e-05,up,skeletal muscle cell differentiation
ENSMUSG00000024803,Ankrd1,193.2590538,1.394548898,0.286592091,4.865971324,1.14e-06,1.04e-05,up,skeletal muscle cell differentiation
ENSMUSG00000026923,Notch1,923.6747513,0.903550035,0.223637972,4.040235326,5.34e-05,0.000287781,up,skeletal muscle cell differentiation
ENSMUSG00000027470,Mylk2,76079.40418,0.848468944,0.138076997,6.144897127,8e-10,1.61e-08,up,skeletal muscle cell differentiation
ENSMUSG00000021200,Asb2,36431.89369,0.847776186,0.104188368,8.1369562,4.05e-16,2.8e-14,up,skeletal muscle cell differentiation
ENSMUSG00000020128,Vps54,1566.193918,0.79445208,0.162051497,4.902466766,9.46e-07,8.82e-06,up,skeletal muscle tissue growth
ENSMUSG00000034998,Foxn2,807.3841591,0.759430171,0.14546259,5.220793683,1.78e-07,2.02e-06,up,skeletal muscle cell differentiation
ENSMUSG00000048661,Lemd3,971.6753587,0.742618423,0.12751059,5.823974474,5.75e-09,9.21e-08,up,skeletal muscle cell differentiation
ENSMUSG00000021039,Snw1,2239.126847,0.729557913,0.131586328,5.544329157,2.95e-08,4.06e-07,up,skeletal muscle cell differentiation
ENSMUSG00000014773,Dll1,224.4270133,0.69987166,0.151646507,4.615151874,3.93e-06,3.08e-05,up,skeletal muscle tissue growth
ENSMUSG00000026100,Mstn,6601.222866,0.606477183,0.164611413,3.684296074,0.000229336,0.001005608,up,skeletal muscle cell differentiation
ENSMUSG00000044857,Lemd2,1181.311987,0.545766192,0.168896926,3.231356566,0.001232041,0.004245472,up,skeletal muscle cell differentiation
ENSMUSG00000027107,Chrna1,770.5313009,0.535331124,0.154342379,3.468464901,0.000523441,0.002037888,up,skeletal muscle tissue growth
ENSMUSG00000038119,Cdon,497.3715075,-0.507459675,0.142639533,-3.557636968,0.000374206,0.001536298,down,skeletal muscle cell differentiation
ENSMUSG00000055027,Smyd1,15013.79489,-0.570751754,0.187121782,-3.050162026,0.002287179,0.007153912,down,skeletal muscle cell differentiation
ENSMUSG00000026816,Gtf3c5,326.1481414,-0.664727538,0.151538217,-4.38653397,1.15e-05,7.75e-05,down,skeletal muscle cell differentiation
ENSMUSG00000021868,Ppif,762.1565845,-0.68429358,0.131470134,-5.204935598,1.94e-07,2.19e-06,down,skeletal muscle cell differentiation
ENSMUSG00000040287,Stac3,5995.200173,-0.712084988,0.178493705,-3.989412338,6.62e-05,0.000345889,down,skeletal muscle fiber development
ENSMUSG00000044086,Lmod3,2973.908122,-0.742001755,0.150565829,-4.928088661,8.3e-07,7.87e-06,down,skeletal muscle fiber development
ENSMUSG00000050989,Selenon,333.680784,-0.767112688,0.132289482,-5.798742837,6.68e-09,1.05e-07,down,skeletal muscle cell differentiation; skeletal muscle fiber development
ENSMUSG00000032744,Heyl,280.1344099,-0.855038168,0.149697152,-5.711786468,1.12e-08,1.72e-07,down,skeletal muscle cell differentiation
ENSMUSG00000003476,Crhr2,819.1650591,-0.87919016,0.207404716,-4.239007558,2.25e-05,0.000137118,down,skeletal muscle tissue growth
ENSMUSG00000007617,Homer1,4273.073832,-0.921016715,0.187298753,-4.917367047,8.77e-07,8.25e-06,down,skeletal muscle fiber development
ENSMUSG00000003949,Hlf,834.9224139,-0.959640593,0.20061677,-4.783451517,1.72e-06,1.49e-05,down,skeletal muscle cell differentiation
ENSMUSG00000023034,Nr4a1,9289.281934,-1.148967473,0.328503842,-3.497576971,0.000469505,0.001859741,down,skeletal muscle cell differentiation
ENSMUSG00000009471,Myod1,535.689066,-1.21226831,0.234823248,-5.16247144,2.44e-07,2.66e-06,down,skeletal muscle cell differentiation; skeletal muscle fiber development
ENSMUSG00000001119,Col6a1,2489.334292,-1.236673979,0.294933198,-4.193064691,2.75e-05,0.000163352,down,skeletal muscle cell differentiation; skeletal muscle fiber development; skeletal muscle tissue growth
ENSMUSG00000028414,Fktn,399.8664726,-1.289916172,0.174261146,-7.402201805,1.34e-13,5.63e-12,down,skeletal muscle cell differentiation
ENSMUSG00000028736,Pax7,88.19308555,-1.361205556,0.218317784,-6.234973295,4.52e-10,9.51e-09,down,skeletal muscle cell differentiation
