gene_symbol,go_id,go_name,relationship
ANKRD1,GO:0035914,skeletal muscle cell differentiation,part_of
ANKRD2,GO:0035914,skeletal muscle cell differentiation,part_of
ANKRD33,GO:0035914,skeletal muscle cell differentiation,part_of
ASB2,GO:0035914,skeletal muscle cell differentiation,part_of
ATF3,GO:0035914,skeletal muscle cell differentiation,part_of
B4GALNT2,GO:0035914,skeletal muscle cell differentiation,part_of
BCL9,GO:0035914,skeletal muscle cell differentiation,part_of
BCL9L,GO:0035914,skeletal muscle cell differentiation,part_of
BTG2,GO:0035914,skeletal muscle cell differentiation,part_of
CDON,GO:0035914,skeletal muscle cell differentiation,part_of
CITED2,GO:0035914,skeletal muscle cell differentiation,part_of
COL6A1,GO:0035914,skeletal muscle cell differentiation,part_of
COPS2,GO:0035914,skeletal muscle cell differentiation,part_of
DMRTA2,GO:0035914,skeletal muscle cell differentiation,part_of
EEF2,GO:0035914,skeletal muscle cell differentiation,part_of
EGR1,GO:0035914,skeletal muscle cell differentiation,part_of
EGR2,GO:0035914,skeletal muscle cell differentiation,part_of
EMD,GO:0035914,skeletal muscle cell differentiation,part_of
EOMES,GO:0035914,skeletal muscle cell differentiation,part_of
FKRP,GO:0035914,skeletal muscle cell differentiation,part_of
FKTN,GO:0035914,skeletal muscle cell differentiation,part_of
FOS,GO:0035914,skeletal muscle cell differentiation,part_of
FOXN2,GO:0035914,skeletal muscle cell differentiation,part_of
GATA4,GO:0035914,skeletal muscle cell differentiation,part_of
GTF3C5,GO:0035914,skeletal muscle cell differentiation,part_of
HEYL,GO:0035914,skeletal muscle cell differentiation,part_of
HIVEP3,GO:0035914,skeletal muscle cell differentiation,part_of
HLF,GO:0035914,skeletal muscle cell differentiation,part_of
HMG20B,GO:0035914,skeletal muscle cell differentiation,part_of
KLF5,GO:0035914,skeletal muscle cell differentiation,part_of
KLHL40,GO:0035914,skeletal muscle cell differentiation,part_of
KLHL41,GO:0035914,skeletal muscle cell differentiation,part_of
LARGE1,GO:0035914,skeletal muscle cell differentiation,part_of
LEMD2,GO:0035914,skeletal muscle cell differentiation,part_of
LEMD3,GO:0035914,skeletal muscle cell differentiation,part_of
MAFF,GO:0035914,skeletal muscle cell differentiation,part_of
MED20,GO:0035914,skeletal muscle cell differentiation,part_of
MEF2C,GO:0035914,skeletal muscle cell differentiation,part_of
MEF2D,GO:0035914,skeletal muscle cell differentiation,part_of
MEGF10,GO:0035914,skeletal muscle cell differentiation,part_of
MSTN,GO:0035914,skeletal muscle cell differentiation,part_of
MUS MUSCULUS SMALL NUCLEOLAR RNA HOST GENE 15 (SNHG15),GO:0035914,skeletal muscle cell differentiation,part_of
MYC,GO:0035914,skeletal muscle cell differentiation,part_of
MYF5,GO:0035914,skeletal muscle cell differentiation,part_of
MYF6,GO:0035914,skeletal muscle cell differentiation,part_of
MYLK2,GO:0035914,skeletal muscle cell differentiation,part_of
MYOD1,GO:0035914,skeletal muscle cell differentiation,part_of
MYOG,GO:0035914,skeletal muscle cell differentiation,part_of
NFIX,GO:0035914,skeletal muscle cell differentiation,part_of
NOTCH1,GO:0035914,skeletal muscle cell differentiation,part_of
NR4A1,GO:0035914,skeletal muscle cell differentiation,part_of
NUPR1,GO:0035914,skeletal muscle cell differentiation,part_of
PAX3,GO:0035914,skeletal muscle cell differentiation,part_of
PAX5,GO:0035914,skeletal muscle cell differentiation,part_of
PAX7,GO:0035914,skeletal muscle cell differentiation,part_of
PHOX2B,GO:0035914,skeletal muscle cell differentiation,part_of
PLAGL1,GO:0035914,skeletal muscle cell differentiation,part_of
PPIF,GO:0035914,skeletal muscle cell differentiation,part_of
RB1,GO:0035914,skeletal muscle cell differentiation,part_of
SAP30,GO:0035914,skeletal muscle cell differentiation,part_of
SCX,GO:0035914,skeletal muscle cell differentiation,part_of
SELENON,GO:0035914,skeletal muscle cell differentiation,part_of
SIX4,GO:0035914,skeletal muscle cell differentiation,part_of
SMYD1,GO:0035914,skeletal muscle cell differentiation,part_of
SNW1,GO:0035914,skeletal muscle cell differentiation,part_of
SOX11,GO:0035914,skeletal muscle cell differentiation,part_of
SOX8,GO:0035914,skeletal muscle cell differentiation,part_of
VAX1,GO:0035914,skeletal muscle cell differentiation,part_of
WNT3A,GO:0035914,skeletal muscle cell differentiation,part_of
ZNF689,GO:0035914,skeletal muscle cell differentiation,part_of
