Unnamed: 0,Unnamed: 1,Unnamed: 2,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,minus_log10_pvalue,regulation,GeneSymbol,Subcategory,GO_Terms,Description
ENSMUSG00000000093,ENSMUSG00000000093,Tbx2,263.6290643,0.540050226,0.164016836,3.292651155,0.000992475,0.003534151,"3,003280281",up,TBX2,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
ENSMUSG00000000489,ENSMUSG00000000489,Pdgfb,338.9506945,-1.344595394,0.321873725,-4.177400298,2.95e-05,0.000173301,"4,530384372",down,PDGFB,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
ENSMUSG00000000567,ENSMUSG00000000567,Sox9,165.7271068,1.047732309,0.237849155,4.405028513,1.06e-05,7.19e-05,"4,97563764",up,SOX9,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
ENSMUSG00000001105,ENSMUSG00000001105,Ift20,221.2634764,-0.891758154,0.151937064,-5.86926013,4.38e-09,7.33e-08,"8,358779633",down,IFT20,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
ENSMUSG00000001119,ENSMUSG00000001119,Col6a1,2489.334292,-1.236673979,0.294933198,-4.193064691,2.75e-05,0.000163352,"4,560334339",down,COL6A1,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
ENSMUSG00000001729,ENSMUSG00000001729,Akt1,2934.767719,0.933754514,0.264454994,3.530863602,0.000414205,0.001679117,"3,382784366",up,AKT1,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
ENSMUSG00000002910,ENSMUSG00000002910,Arrdc2,6387.496107,0.577758412,0.185079692,3.121673725,0.001798261,0.005822511,"2,74514724",up,ARRDC2,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
ENSMUSG00000009471,ENSMUSG00000009471,Myod1,535.689066,-1.21226831,0.234823248,-5.16247144,2.44e-07,2.66e-06,"6,613125639",down,MYOD1,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
ENSMUSG00000015605,ENSMUSG00000015605,Srf,3434.216686,-0.521317827,0.080518437,-6.474514979,9.51e-11,2.36e-09,"10,02174197",down,SRF,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
ENSMUSG00000017491,ENSMUSG00000017491,Rarb,171.0636875,-1.4923513,0.216368923,-6.897253453,5.3e-12,1.69e-10,"11,27558039",down,RARB,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
