GeneSymbol,GO_Term,GO_Name
ABCB1A,GO:0042692,muscle cell differentiation
ABCC2,GO:0042692,muscle cell differentiation
ABCG2,GO:0042692,muscle cell differentiation
ACADM,GO:0042692,muscle cell differentiation
ACVR1,GO:0042692,muscle cell differentiation
AGT,GO:0042692,muscle cell differentiation
AKAP13,GO:0042692,muscle cell differentiation
AKT1,GO:0042692,muscle cell differentiation
ALPK3,GO:0042692,muscle cell differentiation
APLNR,GO:0042692,muscle cell differentiation
ARID1A,GO:0042692,muscle cell differentiation
ARRDC2,GO:0042692,muscle cell differentiation
ASB2,GO:0042692,muscle cell differentiation
AVPR1A,GO:0042692,muscle cell differentiation
AW551984,GO:0042692,muscle cell differentiation
B4GALNT2,GO:0042692,muscle cell differentiation
BARX2,GO:0042692,muscle cell differentiation
BCL9,GO:0042692,muscle cell differentiation
BMP2,GO:0042692,muscle cell differentiation
BMP4,GO:0042692,muscle cell differentiation
BNIP2,GO:0042692,muscle cell differentiation
C3,GO:0042692,muscle cell differentiation
CACYBP,GO:0042692,muscle cell differentiation
CALR,GO:0042692,muscle cell differentiation
CASP3,GO:0042692,muscle cell differentiation
CASP7,GO:0042692,muscle cell differentiation
CAV3,GO:0042692,muscle cell differentiation
CBY1,GO:0042692,muscle cell differentiation
CDH2,GO:0042692,muscle cell differentiation
CDON,GO:0042692,muscle cell differentiation
CEFIP,GO:0042692,muscle cell differentiation
CFD,GO:0042692,muscle cell differentiation
CFH,GO:0042692,muscle cell differentiation
CHUK,GO:0042692,muscle cell differentiation
COL6A1,GO:0042692,muscle cell differentiation
CRIPTO,GO:0042692,muscle cell differentiation
CTCF,GO:0042692,muscle cell differentiation
CTNNB1,GO:0042692,muscle cell differentiation
EDNRB,GO:0042692,muscle cell differentiation
FGF10,GO:0042692,muscle cell differentiation
FKRP,GO:0042692,muscle cell differentiation
FKTN,GO:0042692,muscle cell differentiation
FOXF1,GO:0042692,muscle cell differentiation
FOXP1,GO:0042692,muscle cell differentiation
GATA4,GO:0042692,muscle cell differentiation
GATA6,GO:0042692,muscle cell differentiation
GPX1,GO:0042692,muscle cell differentiation
GREB1L,GO:0042692,muscle cell differentiation
GREM1,GO:0042692,muscle cell differentiation
GSK3B,GO:0042692,muscle cell differentiation
HACD1,GO:0042692,muscle cell differentiation
HAND2,GO:0042692,muscle cell differentiation
IFT20,GO:0042692,muscle cell differentiation
IFT88,GO:0042692,muscle cell differentiation
IGF1,GO:0042692,muscle cell differentiation
IGF2,GO:0042692,muscle cell differentiation
IGFBP5,GO:0042692,muscle cell differentiation
IGFN1,GO:0042692,muscle cell differentiation
INS2,GO:0042692,muscle cell differentiation
IRX3,GO:0042692,muscle cell differentiation
ITGA8,GO:0042692,muscle cell differentiation
ITGB1,GO:0042692,muscle cell differentiation
KCNJ8,GO:0042692,muscle cell differentiation
KDM6B,GO:0042692,muscle cell differentiation
KLF5,GO:0042692,muscle cell differentiation
KLHL40,GO:0042692,muscle cell differentiation
KRAS,GO:0042692,muscle cell differentiation
LARGE1,GO:0042692,muscle cell differentiation
MAPK14,GO:0042692,muscle cell differentiation
MEF2C,GO:0042692,muscle cell differentiation
MESP1,GO:0042692,muscle cell differentiation
MET,GO:0042692,muscle cell differentiation
MRTFA,GO:0042692,muscle cell differentiation
MRTFB,GO:0042692,muscle cell differentiation
MTLN,GO:0042692,muscle cell differentiation
MUS MUSCULUS (HOUSE MOUSE) MICRORNA MMU-MIR-143 PRECURSOR,GO:0042692,muscle cell differentiation
MUS MUSCULUS (HOUSE MOUSE) MICRORNA MMU-MIR-145A PRECURSOR,GO:0042692,muscle cell differentiation
MUS MUSCULUS (HOUSE MOUSE) MMU-MIR-145A-5P,GO:0042692,muscle cell differentiation
MYLK2,GO:0042692,muscle cell differentiation
MYOCD,GO:0042692,muscle cell differentiation
MYOD1,GO:0042692,muscle cell differentiation
MYOG,GO:0042692,muscle cell differentiation
NFATC3,GO:0042692,muscle cell differentiation
NFATC4,GO:0042692,muscle cell differentiation
NKX2-5,GO:0042692,muscle cell differentiation
NKX2-6,GO:0042692,muscle cell differentiation
NOX4,GO:0042692,muscle cell differentiation
NPNT,GO:0042692,muscle cell differentiation
NRG1,GO:0042692,muscle cell differentiation
NTF3,GO:0042692,muscle cell differentiation
PAX3,GO:0042692,muscle cell differentiation
PDGFB,GO:0042692,muscle cell differentiation
PDGFRB,GO:0042692,muscle cell differentiation
PITX2,GO:0042692,muscle cell differentiation
PLD3,GO:0042692,muscle cell differentiation
PMP22,GO:0042692,muscle cell differentiation
POPDC1,GO:0042692,muscle cell differentiation
POPDC2,GO:0042692,muscle cell differentiation
POPDC3,GO:0042692,muscle cell differentiation
PPIF,GO:0042692,muscle cell differentiation
PROK2,GO:0042692,muscle cell differentiation
QKI,GO:0042692,muscle cell differentiation
RARA,GO:0042692,muscle cell differentiation
RARB,GO:0042692,muscle cell differentiation
RB1,GO:0042692,muscle cell differentiation
RXRA,GO:0042692,muscle cell differentiation
RXRB,GO:0042692,muscle cell differentiation
SHH,GO:0042692,muscle cell differentiation
SHOX2,GO:0042692,muscle cell differentiation
SIK1,GO:0042692,muscle cell differentiation
SIRT6,GO:0042692,muscle cell differentiation
SIX1,GO:0042692,muscle cell differentiation
SIX4,GO:0042692,muscle cell differentiation
SKI,GO:0042692,muscle cell differentiation
SLC9A1,GO:0042692,muscle cell differentiation
SMARCA2,GO:0042692,muscle cell differentiation
SMARCA4,GO:0042692,muscle cell differentiation
SORT1,GO:0042692,muscle cell differentiation
SOX6,GO:0042692,muscle cell differentiation
SOX9,GO:0042692,muscle cell differentiation
SPAG9,GO:0042692,muscle cell differentiation
SRF,GO:0042692,muscle cell differentiation
STIM1,GO:0042692,muscle cell differentiation
TBX18,GO:0042692,muscle cell differentiation
TBX2,GO:0042692,muscle cell differentiation
TBX3,GO:0042692,muscle cell differentiation
TBX5,GO:0042692,muscle cell differentiation
TBXT,GO:0042692,muscle cell differentiation
TMEM182,GO:0042692,muscle cell differentiation
TMEM204,GO:0042692,muscle cell differentiation
TSC1,GO:0042692,muscle cell differentiation
TSHZ3,GO:0042692,muscle cell differentiation
VANGL2,GO:0042692,muscle cell differentiation
WNT1,GO:0042692,muscle cell differentiation
WNT4,GO:0042692,muscle cell differentiation
WNT7B,GO:0042692,muscle cell differentiation
