GeneSymbol,Subcategory,GO_Terms,Description
ACVR1,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
AGT,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
APLNR,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
BMP4,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
C3,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
CFD,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
CFH,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
CTNNB1,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
EDNRB,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
FGF10,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
FOXF1,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
GATA6,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
ITGA8,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
MEF2C,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
MESP1,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
MRTFA,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
MRTFB,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
MUS MUSCULUS (HOUSE MOUSE) MICRORNA MMU-MIR-143 PRECURSOR,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
MUS MUSCULUS (HOUSE MOUSE) MICRORNA MMU-MIR-145A PRECURSOR,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
MUS MUSCULUS (HOUSE MOUSE) MMU-MIR-145A-5P,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
MYOCD,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
NFATC3,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
NFATC4,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
NPNT,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
NTF3,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
PDGFB,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
PDGFRB,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
