Unnamed: 0,Unnamed: 1,Unnamed: 2,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,minus_log10_pvalue,regulation,GeneSymbol,Subcategory,GO_Terms,Description
ENSMUSG00000000275,ENSMUSG00000000275,Trim25,480.4964086,0.581764708,0.126907167,4.584175372,4.56e-06,3.49e-05,"5,341243222",up,TRIM25,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000000957,ENSMUSG00000000957,Mmp14,648.9868285,1.335414028,0.167047027,7.994240018,1.3e-15,8.31e-14,"14,88480382",up,MMP14,protein processing,GO:0016485,Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein. Protein maturation is the process leading to the attainment of the full functional capacity of a protein.
ENSMUSG00000001249,ENSMUSG00000001249,Hpn,261.9804618,-0.659711569,0.143341041,-4.602391351,4.18e-06,3.26e-05,"5,379169364",down,HPN,protein processing,GO:0016485,Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein. Protein maturation is the process leading to the attainment of the full functional capacity of a protein.
ENSMUSG00000001729,ENSMUSG00000001729,Akt1,2934.767719,0.933754514,0.264454994,3.530863602,0.000414205,0.001679117,"3,382784366",up,AKT1,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000001751,ENSMUSG00000001751,Naglu,228.2908353,0.741854393,0.23326362,3.180326162,0.001471094,0.004928291,"2,832359656",up,NAGLU,protein processing,GO:0016485,Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein. Protein maturation is the process leading to the attainment of the full functional capacity of a protein.
ENSMUSG00000001751,ENSMUSG00000001751,Naglu,228.2908353,0.741854393,0.23326362,3.180326162,0.001471094,0.004928291,"2,832359656",up,NAGLU,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000002105,ENSMUSG00000002105,Slc39a13,826.6226408,-0.511590598,0.1010591,-5.062291246,4.14e-07,4.23e-06,"6,382740056",down,SLC39A13,protein processing,GO:0016485,Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein. Protein maturation is the process leading to the attainment of the full functional capacity of a protein.
ENSMUSG00000003746,ENSMUSG00000003746,Man1a,659.7336635,0.558416323,0.11690964,4.776477993,1.78e-06,1.54e-05,"5,748624464",up,MAN1A,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000005312,ENSMUSG00000005312,Ubqln1,3571.440474,0.570937894,0.159042552,3.589843651,0.000330876,0.001380894,"3,480334259",up,UBQLN1,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000005362,ENSMUSG00000005362,Crbn,1470.50483,0.702483487,0.140060695,5.015564769,5.29e-07,5.26e-06,"6,276725741",up,CRBN,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
