GeneSymbol,Subcategory,GO_Terms,Description
ADAM10,membrane protein proteolysis,GO:0033619,The proteolytic cleavage of a transmembrane protein leading to the release of its intracellular or ecto-domains.
ADAM17,membrane protein proteolysis,GO:0033619,The proteolytic cleavage of a transmembrane protein leading to the release of its intracellular or ecto-domains.
ADAM19,membrane protein proteolysis,GO:0033619,The proteolytic cleavage of a transmembrane protein leading to the release of its intracellular or ecto-domains.
ADAM9,membrane protein proteolysis,GO:0033619,The proteolytic cleavage of a transmembrane protein leading to the release of its intracellular or ecto-domains.
AFG3L2,membrane protein proteolysis,GO:0033619,The proteolytic cleavage of a transmembrane protein leading to the release of its intracellular or ecto-domains.
APH1A,membrane protein proteolysis,GO:0033619,The proteolytic cleavage of a transmembrane protein leading to the release of its intracellular or ecto-domains.
APH1B,membrane protein proteolysis,GO:0033619,The proteolytic cleavage of a transmembrane protein leading to the release of its intracellular or ecto-domains.
APH1C,membrane protein proteolysis,GO:0033619,The proteolytic cleavage of a transmembrane protein leading to the release of its intracellular or ecto-domains.
BACE1,membrane protein proteolysis,GO:0033619,The proteolytic cleavage of a transmembrane protein leading to the release of its intracellular or ecto-domains.
BACE2,membrane protein proteolysis,GO:0033619,The proteolytic cleavage of a transmembrane protein leading to the release of its intracellular or ecto-domains.
CLPP,membrane protein proteolysis,GO:0033619,The proteolytic cleavage of a transmembrane protein leading to the release of its intracellular or ecto-domains.
CTSH,membrane protein proteolysis,GO:0033619,The proteolytic cleavage of a transmembrane protein leading to the release of its intracellular or ecto-domains.
CWH43,membrane protein proteolysis,GO:0033619,The proteolytic cleavage of a transmembrane protein leading to the release of its intracellular or ecto-domains.
DAG1,membrane protein proteolysis,GO:0033619,The proteolytic cleavage of a transmembrane protein leading to the release of its intracellular or ecto-domains.
ERAP1,membrane protein proteolysis,GO:0033619,The proteolytic cleavage of a transmembrane protein leading to the release of its intracellular or ecto-domains.
GAMMA-SECRETASE_ALPHA1A-PSEN2_MOUSE,membrane protein proteolysis,GO:0033619,The proteolytic cleavage of a transmembrane protein leading to the release of its intracellular or ecto-domains.
GAMMA-SECRETASE_ALPHA1B-PSEN1_MOUSE,membrane protein proteolysis,GO:0033619,The proteolytic cleavage of a transmembrane protein leading to the release of its intracellular or ecto-domains.
