pathway,total_genes_in_pathway,degs_in_pathway,expected,fold_enrichment,odds_ratio,p_value,p_adj
Amino acid metabolism,90,10,21.155729676787463,0.4726851851851852,0.3809782608695652,0.0026266917741493466,0.10244097919182452
Lipid metabolism,126,18,29.618021547502448,0.6077380952380953,0.5052552552552553,0.00952208079391981,0.3713611509628726
OXPHOS assembly factors,67,24,15.74926542605289,1.5238805970149254,1.9069767441860466,0.017166487504118404,0.6694930126606178
Complex I,64,23,15.04407443682664,1.5288411458333333,1.9130043835000563,0.021531158754045286,0.8397151914077662
Organelle contact sites,13,0,3.0558276199804113,0.0,0.0,0.046732544665936626,1.0
Cristae formation,11,0,2.5857002938295786,0.0,0.0,0.0765777911439288,1.0
Detoxification,51,7,11.98824681684623,0.5839052287581699,0.5032188841201717,0.12547206635218,1.0
Cytochrome C,3,2,0.7051909892262488,2.8361111111111112,6.554621848739496,0.13950733720202255,1.0
Autophagy,18,2,4.2311459353574925,0.4726851851851852,0.4017857142857143,0.2714267197469802,1.0
Calcium homeostasis,23,3,5.406464250734573,0.5548913043478262,0.4816455696202532,0.3214248098644221,1.0
Immune response,6,0,1.4103819784524976,0.0,0.0,0.34535268530789537,1.0
mtRNA metabolism,76,21,17.864838393731638,1.1754934210526313,1.2657534246575342,0.3990511918980505,1.0
Complex II,8,3,1.88050930460333,1.5953125,1.9645569620253165,0.4004706679505903,1.0
SLC25A family,51,14,11.98824681684623,1.1678104575163397,1.24563501554652,0.4993862593562204,1.0
Protein homeostasis,53,10,12.458374142997062,0.8026729559748428,0.7462082912032356,0.5066938415337604,1.0
Apoptosis,34,6,7.992164544564153,0.7507352941176471,0.6895604395604396,0.5382012349782338,1.0
Mitophagy,14,2,3.2908912830558275,0.6077380952380953,0.538515406162465,0.539403910103335,1.0
Electron carriers,16,5,3.76101860920666,1.3294270833333333,1.4893617021276595,0.5507323890690237,1.0
Nucleotide metabolism,37,10,8.697355533790402,1.1497747747747746,1.214170692431562,0.5598277156487966,1.0
Respirasome assembly,4,0,0.940254652301665,0.0,0.0,0.5782972322433427,1.0
Sideroflexins,5,0,1.1753183153770814,0.0,0.0,0.5967493199180439,1.0
Trafficking,7,2,1.6454456415279137,1.2154761904761906,1.304201680672269,0.6699147379082604,1.0
mtDNA maintenance,31,6,7.286973555337904,0.8233870967741935,0.7753846153846153,0.6723681970924935,1.0
Intramitochondrial membrane interactions,8,1,1.88050930460333,0.5317708333333333,0.46264196054991036,0.68879535447761,1.0
Fusion,9,1,2.1155729676787463,0.4726851851851852,0.4042887029288703,0.6938862780258539,1.0
Protein import and sorting,49,10,11.518119490695398,0.8681972789115645,0.8272017837235228,0.7303959187545952,1.0
Translation,155,38,36.434867776689515,1.042956989247312,1.0676144537530676,0.7580122026149455,1.0
Fission,15,4,3.525954946131244,1.1344444444444444,1.1864406779661016,0.761429193773132,1.0
OXPHOS subunits,102,25,23.97649363369246,1.042687908496732,1.06312292358804,0.8059694644035771,1.0
Metals and cofactors,120,27,28.207639569049952,0.9571875,0.9377555656519764,0.8198489826742643,1.0
Carbohydrate metabolism,73,16,17.159647404505385,0.932420091324201,0.9072681704260651,0.8861042512991655,1.0
Complex IV,50,12,11.753183153770813,1.021,1.0290858725761773,1.0,1.0
ABC transporters,8,2,1.88050930460333,1.0635416666666666,1.0854341736694677,1.0,1.0
Sulfur metabolism,11,2,2.5857002938295786,0.7734848484848486,0.7208216619981326,1.0,1.0
Complex V,26,6,6.111655239960823,0.9817307692307693,0.9756410256410256,1.0,1.0
Calcium uniporter,6,1,1.4103819784524976,0.7090277777777778,0.6493723849372385,1.0,1.0
cAMP-PKA signaling,6,1,1.4103819784524976,0.7090277777777778,0.6493723849372385,1.0,1.0
Vitamin metabolism,50,12,11.753183153770813,1.021,1.0290858725761773,1.0,1.0
Complex III,16,4,3.76101860920666,1.0635416666666666,1.0861581920903955,1.0,1.0
