Unnamed: 0,Unnamed: 1,Unnamed: 2,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,minus_log10_pvalue,regulation
ENSMUSG00000000078,ENSMUSG00000000078,Klf6,2704.188433,0.60168776,0.148055618,4.06393063,4.83e-05,0.000264106,"4,31647413",up
ENSMUSG00000000088,ENSMUSG00000000088,Cox5a,6821.946072,-0.559374064,0.178841424,-3.127765654,0.001761406,0.0057352,"2,754140624",down
ENSMUSG00000000093,ENSMUSG00000000093,Tbx2,263.6290643,0.540050226,0.164016836,3.292651155,0.000992475,0.003534151,"3,003280281",up
ENSMUSG00000000168,ENSMUSG00000000168,Dlat,5702.337966,-0.637498997,0.178259657,-3.576238215,0.000348574,0.001442298,"3,45770496",down
ENSMUSG00000000184,ENSMUSG00000000184,Ccnd2,340.9079037,-1.131932557,0.180152451,-6.283192673,3.32e-10,7.22e-09,"9,479268199",down
ENSMUSG00000000275,ENSMUSG00000000275,Trim25,480.4964086,0.581764708,0.126907167,4.584175372,4.56e-06,3.49e-05,"5,341243222",up
ENSMUSG00000000282,ENSMUSG00000000282,Mnt,1175.435403,1.26814422,0.183565548,6.908399941,4.9e-12,1.58e-10,"11,30967054",up
ENSMUSG00000000290,ENSMUSG00000000290,Itgb2,84.66187195,1.161813982,0.330027793,3.520351948,0.000430975,0.001730108,"3,365548406",up
ENSMUSG00000000318,ENSMUSG00000000318,Clec10a,164.4207684,2.642929914,0.198312026,13.32712879,1.61e-40,2.33e-37,"39,79324254",up
ENSMUSG00000000346,ENSMUSG00000000346,Dazap2,3446.181054,0.647587398,0.095542249,6.778021314,1.22e-11,3.62e-10,"10,91423549",up
ENSMUSG00000000359,ENSMUSG00000000359,Rem1,74.12302633,-1.234622644,0.243643188,-5.067339063,4.03e-07,4.15e-06,"6,394247607",down
ENSMUSG00000000489,ENSMUSG00000000489,Pdgfb,338.9506945,-1.344595394,0.321873725,-4.177400298,2.95e-05,0.000173301,"4,530384372",down
ENSMUSG00000000532,ENSMUSG00000000532,Acvr1b,6570.504003,1.640965252,0.192120504,8.541333261,1.33e-17,1.15e-15,"16,87718816",up
ENSMUSG00000000552,ENSMUSG00000000552,Zfp385a,329.0177012,-0.564247019,0.154591624,-3.649919724,0.000262322,0.001132272,"3,581164827",down
ENSMUSG00000000567,ENSMUSG00000000567,Sox9,165.7271068,1.047732309,0.237849155,4.405028513,1.06e-05,7.19e-05,"4,97563764",up
ENSMUSG00000000628,ENSMUSG00000000628,Hk2,11201.31776,-0.843282326,0.240721599,-3.503143586,0.000459802,0.001826294,"3,337429584",down
ENSMUSG00000000631,ENSMUSG00000000631,Myo18a,13452.1361,0.67225061,0.136827019,4.913142277,8.96e-07,8.41e-06,"6,047555391",up
ENSMUSG00000000693,ENSMUSG00000000693,Loxl3,109.2727185,-1.05289033,0.25661173,-4.103048331,4.08e-05,0.000228233,"4,389614518",down
ENSMUSG00000000787,ENSMUSG00000000787,Ddx3x,8497.187685,0.511842291,0.143428334,3.56862745,0.000358856,0.001479039,"3,445079453",up
ENSMUSG00000000805,ENSMUSG00000000805,Car4,218.946166,1.084362884,0.244843139,4.428806499,9.48e-06,6.58e-05,"5,023393335",up
ENSMUSG00000000838,ENSMUSG00000000838,Fmr1,561.581046,0.571837822,0.13038963,4.385608131,1.16e-05,7.78e-05,"4,936808615",up
ENSMUSG00000000957,ENSMUSG00000000957,Mmp14,648.9868285,1.335414028,0.167047027,7.994240018,1.3e-15,8.31e-14,"14,88480382",up
ENSMUSG00000001082,ENSMUSG00000001082,Mfsd10,132.1163781,0.731172342,0.158426046,4.615228121,3.93e-06,3.08e-05,"5,405979166",up
