Unnamed: 0,Unnamed: 1,Unnamed: 2,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,minus_log10_pvalue,regulation,GeneSymbol,GeneSymbol_upper,theme_proteolysis,theme_myogenesis,theme_mitochondrial
ENSMUSG00000000184,ENSMUSG00000000184,Ccnd2,340.9079037,-1.131932557,0.180152451,-6.283192673,3.32e-10,7.22e-09,"9,479268199",down,Ccnd2,CCND2,False,True,False
ENSMUSG00000009471,ENSMUSG00000009471,Myod1,535.689066,-1.21226831,0.234823248,-5.16247144,2.44e-07,2.66e-06,"6,613125639",down,Myod1,MYOD1,False,True,False
ENSMUSG00000017300,ENSMUSG00000017300,Tnnc2,192882.5021,-0.538462603,0.181296655,-2.970063642,0.002977381,0.008922114,"2,526165645",down,Tnnc2,TNNC2,False,True,False
ENSMUSG00000023067,ENSMUSG00000023067,Cdkn1a,4241.534037,2.660642952,0.198194885,13.42437747,4.35e-41,7.209999999999999e-38,"40,36128488",up,Cdkn1a,CDKN1A,False,True,False
ENSMUSG00000025352,ENSMUSG00000025352,Gdf11,458.5727897,-1.807178479,0.306765465,-5.891075374,3.84e-09,6.5e-08,"8,416018971",down,Gdf11,GDF11,False,True,False
ENSMUSG00000026100,ENSMUSG00000026100,Mstn,6601.222866,0.606477183,0.164611413,3.684296074,0.000229336,0.001005608,"3,639528625",up,Mstn,MSTN,False,True,False
ENSMUSG00000027962,ENSMUSG00000027962,Vcam1,92.15225886,-0.951198654,0.249236854,-3.816444637,0.000135388,0.00064039,"3,86841843",down,Vcam1,VCAM1,False,True,False
ENSMUSG00000028212,ENSMUSG00000028212,Ccne2,269.2301045,-0.774168842,0.167885436,-4.611292451,4e-06,3.13e-05,"5,397752131",down,Ccne2,CCNE2,False,True,False
ENSMUSG00000028736,ENSMUSG00000028736,Pax7,88.19308555,-1.361205556,0.218317784,-6.234973295,4.52e-10,9.51e-09,"9,345000745",down,Pax7,PAX7,False,True,False
ENSMUSG00000032366,ENSMUSG00000032366,Tpm1,479463.6985,-0.544179175,0.18308487,-2.972278232,0.002955987,0.00887255,"2,52929752",down,Tpm1,TPM1,False,True,False
ENSMUSG00000061816,ENSMUSG00000061816,Myl1,162445.1842,-0.752013427,0.222074312,-3.386314345,0.000708382,0.002639195,"3,149732546",down,Myl1,MYL1,False,True,False
ENSMUSG00000062825,ENSMUSG00000062825,Actg1,8103.180793,-0.754482931,0.188805849,-3.996078159,6.44e-05,0.000338278,"4,191110898",down,Actg1,ACTG1,False,True,False
ENSMUSG00000070348,ENSMUSG00000070348,Ccnd1,156.6729528,-2.066887241,0.325411359,-6.351613682,2.13e-10,4.91e-09,"9,671482044",down,Ccnd1,CCND1,False,True,False
