level,category,Total_Genes,DEGs,Upregulated,Downregulated,Pct_Up,Pct_Down,Enrichment_P,Enrichment_FDR,Enrichment_OR,Enrichment_Sig,Directional_P,Directional_FDR,Directional_OR,Directional_Sig
level_0,OXPHOS,168,49,0,49,0.0,100.0,0.16685246780531932,0.5299563848030432,1.1974258421317245,ns,3.638569597951193e-18,1.2734993592829177e-16,0.0,***
level_1,OXPHOS subunits,102,25,0,25,0.0,100.0,0.6407345510384319,0.837964161150164,0.9411070448710327,ns,1.440746913869494e-09,2.5213070992716144e-08,0.0,***
level_1,OXPHOS assembly factors,67,24,0,24,0.0,100.0,0.04141082420483467,0.3767272804823445,1.6237130469057943,ns,3.2693872276269283e-09,3.814285098898083e-08,0.0,***
level_1,Complex I,64,23,0,23,0.0,100.0,0.04363179188859638,0.3767272804823445,1.631790794356605,ns,7.415804541681065e-09,6.488828973970931e-08,0.0,***
level_1,Complex IV,50,12,0,12,0.0,100.0,0.657632428084082,0.837964161150164,0.9154909556132059,ns,5.895255500132861e-05,0.00034388990417441687,0.0,***
level_1,Metals and cofactors,24,10,0,10,0.0,100.0,0.06348063804337592,0.3767272804823445,2.0751397725081935,ns,0.0003000905998381298,0.0013128963742918178,0.0,**
level_1,Complex V,26,6,0,6,0.0,100.0,0.6898930097696188,0.837964161150164,0.869777628032345,ns,0.007736541359433237,0.027077894758016332,0.0,*
level_1,Complex III,16,4,0,4,0.0,100.0,0.6179029475008676,0.837964161150164,0.9666666666666667,ns,0.03918273723756928,0.11428298360957706,0.0,ns
level_1,Complex II,8,3,0,3,0.0,100.0,0.33744890295579133,0.6216164001817209,1.740828004039044,ns,0.0881240820081895,0.1713523816825907,0.0,ns
level_1,Translation,4,3,0,3,0.0,100.0,0.05442800865631452,0.3767272804823445,8.70817906428812,ns,0.0881240820081895,0.1713523816825907,0.0,ns
level_1,Electron carriers,4,2,0,2,0.0,100.0,0.2725489978987079,0.5299563848030432,2.9014131897711977,ns,0.19811253534670134,0.256812545819798,0.0,ns
level_1,Cytochrome C,3,2,0,2,0.0,100.0,0.16348850327751113,0.5299563848030432,5.8034993270524895,ns,0.19811253534670134,0.256812545819798,0.0,ns
level_1,Carbohydrate metabolism,4,2,0,2,0.0,100.0,0.2725489978987079,0.5299563848030432,2.9014131897711977,ns,0.19811253534670134,0.256812545819798,0.0,ns
level_1,Apoptosis,2,1,0,1,0.0,100.0,0.44707758179021356,0.680335450550325,2.9007736293306423,ns,0.44519166106254204,0.4869283792871554,0.0,ns
level_1,Lipid metabolism,1,1,0,1,0.0,100.0,0.25640141391499266,0.5299563848030432,inf,ns,0.44519166106254204,0.4869283792871554,0.0,ns
level_1,Protein import and sorting,4,0,0,0,0.0,0.0,1.0,1.0,0.0,ns,1.0,1.0,,ns
level_1,Respirasome assembly,4,0,0,0,0.0,0.0,1.0,1.0,0.0,ns,1.0,1.0,,ns
level_1,Cristae formation,3,0,0,0,0.0,0.0,1.0,1.0,0.0,ns,1.0,1.0,,ns
level_2,CI subunits,43,14,0,14,0.0,100.0,0.19124673694530447,0.5299563848030432,1.4019571295433364,ns,1.1561540298930577e-05,8.093078209251404e-05,0.0,***
level_2,CIV assembly factors,29,10,0,10,0.0,100.0,0.18741172111713467,0.5299563848030432,1.528162511542013,ns,0.0003000905998381298,0.0013128963742918178,0.0,**
level_2,CI assembly factors,21,9,0,9,0.0,100.0,0.06458181951125906,0.3767272804823445,2.1786677908937606,ns,0.0006766301357566958,0.002631339416831595,0.0,**
level_2,CV subunits,21,4,0,4,0.0,100.0,0.8259482631407076,0.9636063069974922,0.6819568231332938,ns,0.03918273723756928,0.11428298360957706,0.0,ns
level_2,CIII assembly factors,6,3,0,3,0.0,100.0,0.17963878038620068,0.5299563848030432,2.902053180747223,ns,0.0881240820081895,0.1713523816825907,0.0,ns
level_2,Heme-containing proteins,6,3,0,3,0.0,100.0,0.17963878038620068,0.5299563848030432,2.902053180747223,ns,0.0881240820081895,0.1713523816825907,0.0,ns
level_2,Fe-S-containing proteins,9,3,0,3,0.0,100.0,0.41726770346995534,0.6638349827931108,1.4505217098619994,ns,0.0881240820081895,0.1713523816825907,0.0,ns
level_2,Translation factors,4,3,0,3,0.0,100.0,0.05442800865631452,0.3767272804823445,8.70817906428812,ns,0.0881240820081895,0.1713523816825907,0.0,ns
level_2,CV assembly factors,5,2,0,2,0.0,100.0,0.38069085733450825,0.6344847622241805,1.934051144010767,ns,0.19811253534670134,0.256812545819798,0.0,ns
level_2,TCA cycle,4,2,0,2,0.0,100.0,0.2725489978987079,0.5299563848030432,2.9014131897711977,ns,0.19811253534670134,0.256812545819798,0.0,ns
level_2,CIV subunits,21,2,0,2,0.0,100.0,0.983697173518015,1.0,0.30480980378267336,ns,0.19811253534670134,0.256812545819798,0.0,ns
level_2,Copper metabolism,5,2,0,2,0.0,100.0,0.38069085733450825,0.6344847622241805,1.934051144010767,ns,0.19811253534670134,0.256812545819798,0.0,ns
level_2,CII subunits,4,2,0,2,0.0,100.0,0.2725489978987079,0.5299563848030432,2.9014131897711977,ns,0.19811253534670134,0.256812545819798,0.0,ns
level_2,Cytochromes,4,2,0,2,0.0,100.0,0.2725489978987079,0.5299563848030432,2.9014131897711977,ns,0.19811253534670134,0.256812545819798,0.0,ns
level_2,Heme synthesis and processing,3,1,0,1,0.0,100.0,0.5888721210465647,0.837964161150164,1.450218634376051,ns,0.44519166106254204,0.4869283792871554,0.0,ns
level_2,CIII subunits,10,1,0,1,0.0,100.0,0.9483816396643154,1.0,0.32200919385581345,ns,0.44519166106254204,0.4869283792871554,0.0,ns
level_2,CII assembly factors,4,1,0,1,0.0,100.0,0.6943131620958503,0.837964161150164,0.9667003027245207,ns,0.44519166106254204,0.4869283792871554,0.0,ns
