gene_symbol,level,category,n_genes
Bcs1l,level_1,Complex III,16
Cyc1,level_1,Complex III,16
Lyrm7,level_1,Complex III,16
Ttc19,level_1,Complex III,16
Uqcc1,level_1,Complex III,16
Uqcc2,level_1,Complex III,16
Uqcc3,level_1,Complex III,16
Uqcr10,level_1,Complex III,16
Uqcr11,level_1,Complex III,16
Uqcrb,level_1,Complex III,16
Uqcrc1,level_1,Complex III,16
Uqcrc2,level_1,Complex III,16
Uqcrfs1,level_1,Complex III,16
Uqcrh,level_1,Complex III,16
Uqcrq,level_1,Complex III,16
mt-Cytb,level_1,Complex III,16
