gene_symbol,level,category,n_genes
Cep89,level_1,Complex IV,50
Cmc1,level_1,Complex IV,50
Cmc2,level_1,Complex IV,50
Coa3,level_1,Complex IV,50
Coa4,level_1,Complex IV,50
Coa5,level_1,Complex IV,50
Coa6,level_1,Complex IV,50
Coa7,level_1,Complex IV,50
Coa8,level_1,Complex IV,50
Cox10,level_1,Complex IV,50
Cox11,level_1,Complex IV,50
Cox14,level_1,Complex IV,50
Cox15,level_1,Complex IV,50
Cox16,level_1,Complex IV,50
Cox17,level_1,Complex IV,50
Cox18,level_1,Complex IV,50
Cox19,level_1,Complex IV,50
Cox20,level_1,Complex IV,50
Cox4i1,level_1,Complex IV,50
Cox4i2,level_1,Complex IV,50
Cox5a,level_1,Complex IV,50
Cox5b,level_1,Complex IV,50
Cox6a1,level_1,Complex IV,50
Cox6a2,level_1,Complex IV,50
Cox6b1,level_1,Complex IV,50
Cox6b2,level_1,Complex IV,50
Cox6c,level_1,Complex IV,50
Cox7a1,level_1,Complex IV,50
Cox7a2,level_1,Complex IV,50
Cox7a2l,level_1,Complex IV,50
Cox7b,level_1,Complex IV,50
Cox7c,level_1,Complex IV,50
Cox8a,level_1,Complex IV,50
Cox8b,level_1,Complex IV,50
Cox8c,level_1,Complex IV,50
Higd1a,level_1,Complex IV,50
Ndufa4,level_1,Complex IV,50
Pet100,level_1,Complex IV,50
Pet117,level_1,Complex IV,50
Pnkd,level_1,Complex IV,50
Sco1,level_1,Complex IV,50
Sco2,level_1,Complex IV,50
Smim20,level_1,Complex IV,50
Surf1,level_1,Complex IV,50
Taco1,level_1,Complex IV,50
Timm21,level_1,Complex IV,50
Tmem177,level_1,Complex IV,50
mt-Co1,level_1,Complex IV,50
mt-Co2,level_1,Complex IV,50
mt-Co3,level_1,Complex IV,50
