gene_symbol,level,category,n_genes
Acad9,level_1,Complex I,64
Aifm1,level_1,Complex I,64
Dmac1,level_1,Complex I,64
Dmac2,level_1,Complex I,64
Ecsit,level_1,Complex I,64
Foxred1,level_1,Complex I,64
Lyrm2,level_1,Complex I,64
Ndufa1,level_1,Complex I,64
Ndufa10,level_1,Complex I,64
Ndufa11,level_1,Complex I,64
Ndufa12,level_1,Complex I,64
Ndufa13,level_1,Complex I,64
Ndufa2,level_1,Complex I,64
Ndufa3,level_1,Complex I,64
Ndufa5,level_1,Complex I,64
Ndufa6,level_1,Complex I,64
Ndufa7,level_1,Complex I,64
Ndufa8,level_1,Complex I,64
Ndufa9,level_1,Complex I,64
Ndufab1,level_1,Complex I,64
Ndufaf1,level_1,Complex I,64
Ndufaf2,level_1,Complex I,64
Ndufaf3,level_1,Complex I,64
Ndufaf4,level_1,Complex I,64
Ndufaf5,level_1,Complex I,64
Ndufaf6,level_1,Complex I,64
Ndufaf7,level_1,Complex I,64
Ndufaf8,level_1,Complex I,64
Ndufb10,level_1,Complex I,64
Ndufb11,level_1,Complex I,64
Ndufb2,level_1,Complex I,64
Ndufb3,level_1,Complex I,64
Ndufb4,level_1,Complex I,64
Ndufb5,level_1,Complex I,64
Ndufb6,level_1,Complex I,64
Ndufb7,level_1,Complex I,64
Ndufb8,level_1,Complex I,64
Ndufb9,level_1,Complex I,64
Ndufc1,level_1,Complex I,64
Ndufc2,level_1,Complex I,64
Ndufs1,level_1,Complex I,64
Ndufs2,level_1,Complex I,64
Ndufs3,level_1,Complex I,64
Ndufs4,level_1,Complex I,64
Ndufs5,level_1,Complex I,64
Ndufs6,level_1,Complex I,64
Ndufs7,level_1,Complex I,64
Ndufs8,level_1,Complex I,64
Ndufv1,level_1,Complex I,64
Ndufv2,level_1,Complex I,64
Ndufv3,level_1,Complex I,64
Nubpl,level_1,Complex I,64
Timmdc1,level_1,Complex I,64
Tmem126a,level_1,Complex I,64
Tmem126b,level_1,Complex I,64
Tmem186,level_1,Complex I,64
Tmem70,level_1,Complex I,64
mt-Nd1,level_1,Complex I,64
mt-Nd2,level_1,Complex I,64
mt-Nd3,level_1,Complex I,64
mt-Nd4,level_1,Complex I,64
mt-Nd4l,level_1,Complex I,64
mt-Nd5,level_1,Complex I,64
mt-Nd6,level_1,Complex I,64
