gene_symbol,level,category,n_genes
Atp5a1,level_1,Complex V,26
Atp5b,level_1,Complex V,26
Atp5c1,level_1,Complex V,26
Atp5d,level_1,Complex V,26
Atp5e,level_1,Complex V,26
Atp5g1,level_1,Complex V,26
Atp5g2,level_1,Complex V,26
Atp5g3,level_1,Complex V,26
Atp5h,level_1,Complex V,26
Atp5j,level_1,Complex V,26
Atp5j2,level_1,Complex V,26
Atp5k,level_1,Complex V,26
Atp5l,level_1,Complex V,26
Atp5md,level_1,Complex V,26
Atp5mpl,level_1,Complex V,26
Atp5o,level_1,Complex V,26
Atp5pb,level_1,Complex V,26
Atpaf1,level_1,Complex V,26
Atpaf2,level_1,Complex V,26
Atpif1,level_1,Complex V,26
Atpsckmt,level_1,Complex V,26
Dmac2l,level_1,Complex V,26
Fmc1,level_1,Complex V,26
Tmem70,level_1,Complex V,26
mt-Atp6,level_1,Complex V,26
mt-Atp8,level_1,Complex V,26
