gene_symbol,level,category,n_genes
Cox10,level_1,Metals and cofactors,24
Cox11,level_1,Metals and cofactors,24
Cox15,level_1,Metals and cofactors,24
Cox17,level_1,Metals and cofactors,24
Cox19,level_1,Metals and cofactors,24
Cyc1,level_1,Metals and cofactors,24
Cycs,level_1,Metals and cofactors,24
Hccs,level_1,Metals and cofactors,24
Ndufab1,level_1,Metals and cofactors,24
Ndufs1,level_1,Metals and cofactors,24
Ndufs2,level_1,Metals and cofactors,24
Ndufs7,level_1,Metals and cofactors,24
Ndufs8,level_1,Metals and cofactors,24
Ndufv1,level_1,Metals and cofactors,24
Ndufv2,level_1,Metals and cofactors,24
Nubpl,level_1,Metals and cofactors,24
Sco1,level_1,Metals and cofactors,24
Sco2,level_1,Metals and cofactors,24
Sdhb,level_1,Metals and cofactors,24
Sdhc,level_1,Metals and cofactors,24
Sdhd,level_1,Metals and cofactors,24
Uqcrfs1,level_1,Metals and cofactors,24
mt-Co1,level_1,Metals and cofactors,24
mt-Cytb,level_1,Metals and cofactors,24
