gene_symbol,level,category,n_genes
Acad9,level_1,OXPHOS assembly factors,67
Aifm1,level_1,OXPHOS assembly factors,67
Atpaf1,level_1,OXPHOS assembly factors,67
Atpaf2,level_1,OXPHOS assembly factors,67
Atpsckmt,level_1,OXPHOS assembly factors,67
Bcs1l,level_1,OXPHOS assembly factors,67
Cep89,level_1,OXPHOS assembly factors,67
Cmc1,level_1,OXPHOS assembly factors,67
Cmc2,level_1,OXPHOS assembly factors,67
Coa3,level_1,OXPHOS assembly factors,67
Coa4,level_1,OXPHOS assembly factors,67
Coa5,level_1,OXPHOS assembly factors,67
Coa6,level_1,OXPHOS assembly factors,67
Coa7,level_1,OXPHOS assembly factors,67
Coa8,level_1,OXPHOS assembly factors,67
Cox10,level_1,OXPHOS assembly factors,67
Cox11,level_1,OXPHOS assembly factors,67
Cox14,level_1,OXPHOS assembly factors,67
Cox15,level_1,OXPHOS assembly factors,67
Cox16,level_1,OXPHOS assembly factors,67
Cox17,level_1,OXPHOS assembly factors,67
Cox18,level_1,OXPHOS assembly factors,67
Cox19,level_1,OXPHOS assembly factors,67
Cox20,level_1,OXPHOS assembly factors,67
Cox7a2l,level_1,OXPHOS assembly factors,67
Dmac1,level_1,OXPHOS assembly factors,67
Dmac2,level_1,OXPHOS assembly factors,67
Ecsit,level_1,OXPHOS assembly factors,67
Fmc1,level_1,OXPHOS assembly factors,67
Foxred1,level_1,OXPHOS assembly factors,67
Higd1a,level_1,OXPHOS assembly factors,67
Higd2a,level_1,OXPHOS assembly factors,67
Lyrm2,level_1,OXPHOS assembly factors,67
Lyrm7,level_1,OXPHOS assembly factors,67
Ndufaf1,level_1,OXPHOS assembly factors,67
Ndufaf2,level_1,OXPHOS assembly factors,67
Ndufaf3,level_1,OXPHOS assembly factors,67
Ndufaf4,level_1,OXPHOS assembly factors,67
Ndufaf5,level_1,OXPHOS assembly factors,67
Ndufaf6,level_1,OXPHOS assembly factors,67
Ndufaf7,level_1,OXPHOS assembly factors,67
Ndufaf8,level_1,OXPHOS assembly factors,67
Nubpl,level_1,OXPHOS assembly factors,67
Pet100,level_1,OXPHOS assembly factors,67
Pet117,level_1,OXPHOS assembly factors,67
Pnkd,level_1,OXPHOS assembly factors,67
Rab5if,level_1,OXPHOS assembly factors,67
Sco1,level_1,OXPHOS assembly factors,67
Sco2,level_1,OXPHOS assembly factors,67
Sdhaf1,level_1,OXPHOS assembly factors,67
Sdhaf2,level_1,OXPHOS assembly factors,67
Sdhaf3,level_1,OXPHOS assembly factors,67
Sdhaf4,level_1,OXPHOS assembly factors,67
Smim20,level_1,OXPHOS assembly factors,67
Surf1,level_1,OXPHOS assembly factors,67
Taco1,level_1,OXPHOS assembly factors,67
Timm21,level_1,OXPHOS assembly factors,67
Timmdc1,level_1,OXPHOS assembly factors,67
Tmem126a,level_1,OXPHOS assembly factors,67
Tmem126b,level_1,OXPHOS assembly factors,67
Tmem177,level_1,OXPHOS assembly factors,67
Tmem186,level_1,OXPHOS assembly factors,67
Tmem70,level_1,OXPHOS assembly factors,67
Ttc19,level_1,OXPHOS assembly factors,67
Uqcc1,level_1,OXPHOS assembly factors,67
Uqcc2,level_1,OXPHOS assembly factors,67
Uqcc3,level_1,OXPHOS assembly factors,67
