gene_symbol,level,category,n_genes
Atp5a1,level_1,OXPHOS subunits,102
Atp5b,level_1,OXPHOS subunits,102
Atp5c1,level_1,OXPHOS subunits,102
Atp5d,level_1,OXPHOS subunits,102
Atp5e,level_1,OXPHOS subunits,102
Atp5g1,level_1,OXPHOS subunits,102
Atp5g2,level_1,OXPHOS subunits,102
Atp5g3,level_1,OXPHOS subunits,102
Atp5h,level_1,OXPHOS subunits,102
Atp5j,level_1,OXPHOS subunits,102
Atp5j2,level_1,OXPHOS subunits,102
Atp5k,level_1,OXPHOS subunits,102
Atp5l,level_1,OXPHOS subunits,102
Atp5md,level_1,OXPHOS subunits,102
Atp5mpl,level_1,OXPHOS subunits,102
Atp5o,level_1,OXPHOS subunits,102
Atp5pb,level_1,OXPHOS subunits,102
Atpif1,level_1,OXPHOS subunits,102
Cox4i1,level_1,OXPHOS subunits,102
Cox4i2,level_1,OXPHOS subunits,102
Cox5a,level_1,OXPHOS subunits,102
Cox5b,level_1,OXPHOS subunits,102
Cox6a1,level_1,OXPHOS subunits,102
Cox6a2,level_1,OXPHOS subunits,102
Cox6b1,level_1,OXPHOS subunits,102
Cox6b2,level_1,OXPHOS subunits,102
Cox6c,level_1,OXPHOS subunits,102
Cox7a1,level_1,OXPHOS subunits,102
Cox7a2,level_1,OXPHOS subunits,102
Cox7a2l,level_1,OXPHOS subunits,102
Cox7b,level_1,OXPHOS subunits,102
Cox7c,level_1,OXPHOS subunits,102
Cox8a,level_1,OXPHOS subunits,102
Cox8b,level_1,OXPHOS subunits,102
Cox8c,level_1,OXPHOS subunits,102
Cyc1,level_1,OXPHOS subunits,102
Cycs,level_1,OXPHOS subunits,102
Cyct,level_1,OXPHOS subunits,102
Dmac2l,level_1,OXPHOS subunits,102
Hccs,level_1,OXPHOS subunits,102
Ndufa1,level_1,OXPHOS subunits,102
Ndufa10,level_1,OXPHOS subunits,102
Ndufa11,level_1,OXPHOS subunits,102
Ndufa12,level_1,OXPHOS subunits,102
Ndufa13,level_1,OXPHOS subunits,102
Ndufa2,level_1,OXPHOS subunits,102
Ndufa3,level_1,OXPHOS subunits,102
Ndufa4,level_1,OXPHOS subunits,102
Ndufa5,level_1,OXPHOS subunits,102
Ndufa6,level_1,OXPHOS subunits,102
Ndufa7,level_1,OXPHOS subunits,102
Ndufa8,level_1,OXPHOS subunits,102
Ndufa9,level_1,OXPHOS subunits,102
Ndufab1,level_1,OXPHOS subunits,102
Ndufb10,level_1,OXPHOS subunits,102
Ndufb11,level_1,OXPHOS subunits,102
Ndufb2,level_1,OXPHOS subunits,102
Ndufb3,level_1,OXPHOS subunits,102
Ndufb4,level_1,OXPHOS subunits,102
Ndufb5,level_1,OXPHOS subunits,102
Ndufb6,level_1,OXPHOS subunits,102
Ndufb7,level_1,OXPHOS subunits,102
Ndufb8,level_1,OXPHOS subunits,102
Ndufb9,level_1,OXPHOS subunits,102
Ndufc1,level_1,OXPHOS subunits,102
Ndufc2,level_1,OXPHOS subunits,102
Ndufs1,level_1,OXPHOS subunits,102
Ndufs2,level_1,OXPHOS subunits,102
Ndufs3,level_1,OXPHOS subunits,102
Ndufs4,level_1,OXPHOS subunits,102
Ndufs5,level_1,OXPHOS subunits,102
Ndufs6,level_1,OXPHOS subunits,102
Ndufs7,level_1,OXPHOS subunits,102
Ndufs8,level_1,OXPHOS subunits,102
Ndufv1,level_1,OXPHOS subunits,102
Ndufv2,level_1,OXPHOS subunits,102
Ndufv3,level_1,OXPHOS subunits,102
Sdha,level_1,OXPHOS subunits,102
Sdhb,level_1,OXPHOS subunits,102
Sdhc,level_1,OXPHOS subunits,102
Sdhd,level_1,OXPHOS subunits,102
Uqcr10,level_1,OXPHOS subunits,102
Uqcr11,level_1,OXPHOS subunits,102
Uqcrb,level_1,OXPHOS subunits,102
Uqcrc1,level_1,OXPHOS subunits,102
Uqcrc2,level_1,OXPHOS subunits,102
Uqcrfs1,level_1,OXPHOS subunits,102
Uqcrh,level_1,OXPHOS subunits,102
Uqcrq,level_1,OXPHOS subunits,102
mt-Atp6,level_1,OXPHOS subunits,102
mt-Atp8,level_1,OXPHOS subunits,102
mt-Co1,level_1,OXPHOS subunits,102
mt-Co2,level_1,OXPHOS subunits,102
mt-Co3,level_1,OXPHOS subunits,102
mt-Cytb,level_1,OXPHOS subunits,102
mt-Nd1,level_1,OXPHOS subunits,102
mt-Nd2,level_1,OXPHOS subunits,102
mt-Nd3,level_1,OXPHOS subunits,102
mt-Nd4,level_1,OXPHOS subunits,102
mt-Nd4l,level_1,OXPHOS subunits,102
mt-Nd5,level_1,OXPHOS subunits,102
mt-Nd6,level_1,OXPHOS subunits,102
