gene_symbol,level,category,n_genes
Cep89,level_2,CIV assembly factors,29
Cmc1,level_2,CIV assembly factors,29
Cmc2,level_2,CIV assembly factors,29
Coa3,level_2,CIV assembly factors,29
Coa4,level_2,CIV assembly factors,29
Coa5,level_2,CIV assembly factors,29
Coa6,level_2,CIV assembly factors,29
Coa7,level_2,CIV assembly factors,29
Coa8,level_2,CIV assembly factors,29
Cox10,level_2,CIV assembly factors,29
Cox11,level_2,CIV assembly factors,29
Cox14,level_2,CIV assembly factors,29
Cox15,level_2,CIV assembly factors,29
Cox16,level_2,CIV assembly factors,29
Cox17,level_2,CIV assembly factors,29
Cox18,level_2,CIV assembly factors,29
Cox19,level_2,CIV assembly factors,29
Cox20,level_2,CIV assembly factors,29
Higd1a,level_2,CIV assembly factors,29
Pet100,level_2,CIV assembly factors,29
Pet117,level_2,CIV assembly factors,29
Pnkd,level_2,CIV assembly factors,29
Sco1,level_2,CIV assembly factors,29
Sco2,level_2,CIV assembly factors,29
Smim20,level_2,CIV assembly factors,29
Surf1,level_2,CIV assembly factors,29
Taco1,level_2,CIV assembly factors,29
Timm21,level_2,CIV assembly factors,29
Tmem177,level_2,CIV assembly factors,29
