gene_symbol,level,category,n_genes
Acad9,level_2,CI assembly factors,21
Aifm1,level_2,CI assembly factors,21
Dmac1,level_2,CI assembly factors,21
Dmac2,level_2,CI assembly factors,21
Ecsit,level_2,CI assembly factors,21
Foxred1,level_2,CI assembly factors,21
Lyrm2,level_2,CI assembly factors,21
Ndufaf1,level_2,CI assembly factors,21
Ndufaf2,level_2,CI assembly factors,21
Ndufaf3,level_2,CI assembly factors,21
Ndufaf4,level_2,CI assembly factors,21
Ndufaf5,level_2,CI assembly factors,21
Ndufaf6,level_2,CI assembly factors,21
Ndufaf7,level_2,CI assembly factors,21
Ndufaf8,level_2,CI assembly factors,21
Nubpl,level_2,CI assembly factors,21
Timmdc1,level_2,CI assembly factors,21
Tmem126a,level_2,CI assembly factors,21
Tmem126b,level_2,CI assembly factors,21
Tmem186,level_2,CI assembly factors,21
Tmem70,level_2,CI assembly factors,21
