gene_symbol,level,category,n_genes
Ndufa1,level_2,CI subunits,43
Ndufa10,level_2,CI subunits,43
Ndufa11,level_2,CI subunits,43
Ndufa12,level_2,CI subunits,43
Ndufa13,level_2,CI subunits,43
Ndufa2,level_2,CI subunits,43
Ndufa3,level_2,CI subunits,43
Ndufa5,level_2,CI subunits,43
Ndufa6,level_2,CI subunits,43
Ndufa7,level_2,CI subunits,43
Ndufa8,level_2,CI subunits,43
Ndufa9,level_2,CI subunits,43
Ndufab1,level_2,CI subunits,43
Ndufb10,level_2,CI subunits,43
Ndufb11,level_2,CI subunits,43
Ndufb2,level_2,CI subunits,43
Ndufb3,level_2,CI subunits,43
Ndufb4,level_2,CI subunits,43
Ndufb5,level_2,CI subunits,43
Ndufb6,level_2,CI subunits,43
Ndufb7,level_2,CI subunits,43
Ndufb8,level_2,CI subunits,43
Ndufb9,level_2,CI subunits,43
Ndufc1,level_2,CI subunits,43
Ndufc2,level_2,CI subunits,43
Ndufs1,level_2,CI subunits,43
Ndufs2,level_2,CI subunits,43
Ndufs3,level_2,CI subunits,43
Ndufs4,level_2,CI subunits,43
Ndufs5,level_2,CI subunits,43
Ndufs6,level_2,CI subunits,43
Ndufs7,level_2,CI subunits,43
Ndufs8,level_2,CI subunits,43
Ndufv1,level_2,CI subunits,43
Ndufv2,level_2,CI subunits,43
Ndufv3,level_2,CI subunits,43
mt-Nd1,level_2,CI subunits,43
mt-Nd2,level_2,CI subunits,43
mt-Nd3,level_2,CI subunits,43
mt-Nd4,level_2,CI subunits,43
mt-Nd4l,level_2,CI subunits,43
mt-Nd5,level_2,CI subunits,43
mt-Nd6,level_2,CI subunits,43
