gene_symbol,level,category,n_genes
Atp5a1,level_2,CV subunits,21
Atp5b,level_2,CV subunits,21
Atp5c1,level_2,CV subunits,21
Atp5d,level_2,CV subunits,21
Atp5e,level_2,CV subunits,21
Atp5g1,level_2,CV subunits,21
Atp5g2,level_2,CV subunits,21
Atp5g3,level_2,CV subunits,21
Atp5h,level_2,CV subunits,21
Atp5j,level_2,CV subunits,21
Atp5j2,level_2,CV subunits,21
Atp5k,level_2,CV subunits,21
Atp5l,level_2,CV subunits,21
Atp5md,level_2,CV subunits,21
Atp5mpl,level_2,CV subunits,21
Atp5o,level_2,CV subunits,21
Atp5pb,level_2,CV subunits,21
Atpif1,level_2,CV subunits,21
Dmac2l,level_2,CV subunits,21
mt-Atp6,level_2,CV subunits,21
mt-Atp8,level_2,CV subunits,21
