gene_symbol,pathway,level,n_genes
Aadat,Metabolism,level_0,464
Aass,Metabolism,level_0,464
Abat,Metabolism,level_0,464
Abcb10,Metabolism,level_0,464
Abcb6,Metabolism,level_0,464
Abcb7,Metabolism,level_0,464
Abhd10,Metabolism,level_0,464
Abhd11,Metabolism,level_0,464
Acaa1a,Metabolism,level_0,464
Acaa1b,Metabolism,level_0,464
Acaa2,Metabolism,level_0,464
Acaca,Metabolism,level_0,464
Acacb,Metabolism,level_0,464
Acad10,Metabolism,level_0,464
Acad11,Metabolism,level_0,464
Acad12,Metabolism,level_0,464
Acad8,Metabolism,level_0,464
Acadl,Metabolism,level_0,464
Acadm,Metabolism,level_0,464
Acads,Metabolism,level_0,464
Acadsb,Metabolism,level_0,464
Acadvl,Metabolism,level_0,464
Acat1,Metabolism,level_0,464
Acly,Metabolism,level_0,464
Aco2,Metabolism,level_0,464
Acod1,Metabolism,level_0,464
Acot10,Metabolism,level_0,464
Acot11,Metabolism,level_0,464
Acot13,Metabolism,level_0,464
Acot2,Metabolism,level_0,464
Acot7,Metabolism,level_0,464
Acot9,Metabolism,level_0,464
Acp6,Metabolism,level_0,464
Acsf2,Metabolism,level_0,464
Acsf3,Metabolism,level_0,464
Acsl1,Metabolism,level_0,464
Acsl6,Metabolism,level_0,464
Acsm1,Metabolism,level_0,464
Acsm2,Metabolism,level_0,464
Acsm3,Metabolism,level_0,464
Acsm4,Metabolism,level_0,464
Acsm5,Metabolism,level_0,464
Acss1,Metabolism,level_0,464
Acss3,Metabolism,level_0,464
Adhfe1,Metabolism,level_0,464
Agk,Metabolism,level_0,464
Agmat,Metabolism,level_0,464
Agpat4,Metabolism,level_0,464
Agpat5,Metabolism,level_0,464
Agxt,Metabolism,level_0,464
Agxt2,Metabolism,level_0,464
Aifm2,Metabolism,level_0,464
Aifm3,Metabolism,level_0,464
Ak2,Metabolism,level_0,464
Ak3,Metabolism,level_0,464
Ak4,Metabolism,level_0,464
Akr1b10,Metabolism,level_0,464
Akr1b7,Metabolism,level_0,464
Akr7a5,Metabolism,level_0,464
Alas1,Metabolism,level_0,464
Alas2,Metabolism,level_0,464
Aldh18a1,Metabolism,level_0,464
Aldh1b1,Metabolism,level_0,464
Aldh1l1,Metabolism,level_0,464
Aldh1l2,Metabolism,level_0,464
Aldh2,Metabolism,level_0,464
Aldh3a2,Metabolism,level_0,464
Aldh4a1,Metabolism,level_0,464
Aldh5a1,Metabolism,level_0,464
Aldh6a1,Metabolism,level_0,464
Aldh7a1,Metabolism,level_0,464
Aldh9a1,Metabolism,level_0,464
Amacr,Metabolism,level_0,464
Amt,Metabolism,level_0,464
Antkmt,Metabolism,level_0,464
Arg2,Metabolism,level_0,464
Auh,Metabolism,level_0,464
Bcat2,Metabolism,level_0,464
Bckdha,Metabolism,level_0,464
Bckdhb,Metabolism,level_0,464
Bckdk,Metabolism,level_0,464
Bco2,Metabolism,level_0,464
Bdh1,Metabolism,level_0,464
Bola1,Metabolism,level_0,464
Bola3,Metabolism,level_0,464
Bphl,Metabolism,level_0,464
Car5a,Metabolism,level_0,464
Car5b,Metabolism,level_0,464
Cat,Metabolism,level_0,464
Cbr2,Metabolism,level_0,464
Cbr3,Metabolism,level_0,464
Cbr4,Metabolism,level_0,464
Chchd7,Metabolism,level_0,464
Chdh,Metabolism,level_0,464
Chpt1,Metabolism,level_0,464
Cisd1,Metabolism,level_0,464
Cisd3,Metabolism,level_0,464
Ckmt1,Metabolism,level_0,464
Ckmt2,Metabolism,level_0,464
Clybl,Metabolism,level_0,464
Cmpk2,Metabolism,level_0,464
Coasy,Metabolism,level_0,464
Comt,Metabolism,level_0,464
Coq10a,Metabolism,level_0,464
Coq10b,Metabolism,level_0,464
Coq2,Metabolism,level_0,464
Coq3,Metabolism,level_0,464
Coq4,Metabolism,level_0,464
Coq5,Metabolism,level_0,464
Coq6,Metabolism,level_0,464
Coq7,Metabolism,level_0,464
Coq8a,Metabolism,level_0,464
Coq8b,Metabolism,level_0,464
Coq9,Metabolism,level_0,464
Cox10,Metabolism,level_0,464
Cox11,Metabolism,level_0,464
Cox15,Metabolism,level_0,464
Cox17,Metabolism,level_0,464
Cox19,Metabolism,level_0,464
Cpox,Metabolism,level_0,464
Cps1,Metabolism,level_0,464
Cpt1a,Metabolism,level_0,464
Cpt1b,Metabolism,level_0,464
Cpt1c,Metabolism,level_0,464
Cpt2,Metabolism,level_0,464
Crat,Metabolism,level_0,464
Crls1,Metabolism,level_0,464
Crot,Metabolism,level_0,464
Cs,Metabolism,level_0,464
Cyb5b,Metabolism,level_0,464
Cyb5r3,Metabolism,level_0,464
Cyc1,Metabolism,level_0,464
Cycs,Metabolism,level_0,464
Cyct,Metabolism,level_0,464
Cyp11a1,Metabolism,level_0,464
Cyp11b1,Metabolism,level_0,464
Cyp11b2,Metabolism,level_0,464
Cyp24a1,Metabolism,level_0,464
Cyp27a1,Metabolism,level_0,464
