gene_symbol,pathway,level,n_genes
2810006K23Rik,Mitochondrial central dogma,level_0,230
Aars2,Mitochondrial central dogma,level_0,230
Alkbh1,Mitochondrial central dogma,level_0,230
Angel2,Mitochondrial central dogma,level_0,230
Apex1,Mitochondrial central dogma,level_0,230
Atad3a,Mitochondrial central dogma,level_0,230
Aurkaip1,Mitochondrial central dogma,level_0,230
Cars2,Mitochondrial central dogma,level_0,230
Cdk5rap1,Mitochondrial central dogma,level_0,230
Chchd1,Mitochondrial central dogma,level_0,230
Coa3,Mitochondrial central dogma,level_0,230
Cox14,Mitochondrial central dogma,level_0,230
Dap3,Mitochondrial central dogma,level_0,230
Dars2,Mitochondrial central dogma,level_0,230
Ddx28,Mitochondrial central dogma,level_0,230
Dhx30,Mitochondrial central dogma,level_0,230
Dna2,Mitochondrial central dogma,level_0,230
Dus2,Mitochondrial central dogma,level_0,230
Ears2,Mitochondrial central dogma,level_0,230
Elac2,Mitochondrial central dogma,level_0,230
Endog,Mitochondrial central dogma,level_0,230
Eral1,Mitochondrial central dogma,level_0,230
Exd2,Mitochondrial central dogma,level_0,230
Exog,Mitochondrial central dogma,level_0,230
Fars2,Mitochondrial central dogma,level_0,230
Fastk,Mitochondrial central dogma,level_0,230
Fastkd1,Mitochondrial central dogma,level_0,230
Fastkd2,Mitochondrial central dogma,level_0,230
Fastkd3,Mitochondrial central dogma,level_0,230
Fastkd5,Mitochondrial central dogma,level_0,230
Gadd45gip1,Mitochondrial central dogma,level_0,230
Gars,Mitochondrial central dogma,level_0,230
Gatb,Mitochondrial central dogma,level_0,230
Gatc,Mitochondrial central dogma,level_0,230
Gfm1,Mitochondrial central dogma,level_0,230
Gfm2,Mitochondrial central dogma,level_0,230
Grsf1,Mitochondrial central dogma,level_0,230
Gtpbp10,Mitochondrial central dogma,level_0,230
Gtpbp3,Mitochondrial central dogma,level_0,230
Guf1,Mitochondrial central dogma,level_0,230
Hars2,Mitochondrial central dogma,level_0,230
Hemk1,Mitochondrial central dogma,level_0,230
Hsd17b10,Mitochondrial central dogma,level_0,230
Iars2,Mitochondrial central dogma,level_0,230
Kars,Mitochondrial central dogma,level_0,230
Lactb2,Mitochondrial central dogma,level_0,230
Lars2,Mitochondrial central dogma,level_0,230
Lig3,Mitochondrial central dogma,level_0,230
Lrpprc,Mitochondrial central dogma,level_0,230
Malsu1,Mitochondrial central dogma,level_0,230
Mars2,Mitochondrial central dogma,level_0,230
Metap1d,Mitochondrial central dogma,level_0,230
Mettl15,Mitochondrial central dogma,level_0,230
Mettl17,Mitochondrial central dogma,level_0,230
Mettl4,Mitochondrial central dogma,level_0,230
Mettl5,Mitochondrial central dogma,level_0,230
Mettl8,Mitochondrial central dogma,level_0,230
Mgme1,Mitochondrial central dogma,level_0,230
Mief1,Mitochondrial central dogma,level_0,230
Mpv17l2,Mitochondrial central dogma,level_0,230
Mrm1,Mitochondrial central dogma,level_0,230
Mrm2,Mitochondrial central dogma,level_0,230
Mrm3,Mitochondrial central dogma,level_0,230
Mrpl1,Mitochondrial central dogma,level_0,230
Mrpl10,Mitochondrial central dogma,level_0,230
Mrpl11,Mitochondrial central dogma,level_0,230
