gene_symbol,pathway,level,n_genes
Ahcyl1,Mitochondrial dynamics and surveillance,level_0,102
Aifm1,Mitochondrial dynamics and surveillance,level_0,102
Aifm2,Mitochondrial dynamics and surveillance,level_0,102
Aifm3,Mitochondrial dynamics and surveillance,level_0,102
Apoo,Mitochondrial dynamics and surveillance,level_0,102
Apool,Mitochondrial dynamics and surveillance,level_0,102
Arl2,Mitochondrial dynamics and surveillance,level_0,102
Armc10,Mitochondrial dynamics and surveillance,level_0,102
Armcx1,Mitochondrial dynamics and surveillance,level_0,102
Armcx3,Mitochondrial dynamics and surveillance,level_0,102
Atad3a,Mitochondrial dynamics and surveillance,level_0,102
Atp5k,Mitochondrial dynamics and surveillance,level_0,102
Atp5l,Mitochondrial dynamics and surveillance,level_0,102
Atp5md,Mitochondrial dynamics and surveillance,level_0,102
Bad,Mitochondrial dynamics and surveillance,level_0,102
Bak1,Mitochondrial dynamics and surveillance,level_0,102
Bax,Mitochondrial dynamics and surveillance,level_0,102
Bbc3,Mitochondrial dynamics and surveillance,level_0,102
Bcl2,Mitochondrial dynamics and surveillance,level_0,102
Bcl2a1d,Mitochondrial dynamics and surveillance,level_0,102
Bcl2l1,Mitochondrial dynamics and surveillance,level_0,102
Bcl2l10,Mitochondrial dynamics and surveillance,level_0,102
Bcl2l11,Mitochondrial dynamics and surveillance,level_0,102
Bcl2l13,Mitochondrial dynamics and surveillance,level_0,102
Bcl2l2,Mitochondrial dynamics and surveillance,level_0,102
Bid,Mitochondrial dynamics and surveillance,level_0,102
Bik,Mitochondrial dynamics and surveillance,level_0,102
Bnip3,Mitochondrial dynamics and surveillance,level_0,102
Bnip3l,Mitochondrial dynamics and surveillance,level_0,102
Bok,Mitochondrial dynamics and surveillance,level_0,102
Casp3,Mitochondrial dynamics and surveillance,level_0,102
Casp8,Mitochondrial dynamics and surveillance,level_0,102
Casp9,Mitochondrial dynamics and surveillance,level_0,102
Chchd2,Mitochondrial dynamics and surveillance,level_0,102
Chchd3,Mitochondrial dynamics and surveillance,level_0,102
Chchd6,Mitochondrial dynamics and surveillance,level_0,102
Cycs,Mitochondrial dynamics and surveillance,level_0,102
Diablo,Mitochondrial dynamics and surveillance,level_0,102
