gene_symbol,pathway,level,n_genes
Acad9,OXPHOS,level_0,168
Aifm1,OXPHOS,level_0,168
Atp5a1,OXPHOS,level_0,168
Atp5b,OXPHOS,level_0,168
Atp5c1,OXPHOS,level_0,168
Atp5d,OXPHOS,level_0,168
Atp5e,OXPHOS,level_0,168
Atp5g1,OXPHOS,level_0,168
Atp5g2,OXPHOS,level_0,168
Atp5g3,OXPHOS,level_0,168
Atp5h,OXPHOS,level_0,168
Atp5j,OXPHOS,level_0,168
Atp5j2,OXPHOS,level_0,168
Atp5k,OXPHOS,level_0,168
Atp5l,OXPHOS,level_0,168
Atp5md,OXPHOS,level_0,168
Atp5mpl,OXPHOS,level_0,168
Atp5o,OXPHOS,level_0,168
Atp5pb,OXPHOS,level_0,168
Atpaf1,OXPHOS,level_0,168
Atpaf2,OXPHOS,level_0,168
Atpif1,OXPHOS,level_0,168
Atpsckmt,OXPHOS,level_0,168
Bcs1l,OXPHOS,level_0,168
Cep89,OXPHOS,level_0,168
Cmc1,OXPHOS,level_0,168
Cmc2,OXPHOS,level_0,168
Coa3,OXPHOS,level_0,168
Coa4,OXPHOS,level_0,168
Coa5,OXPHOS,level_0,168
Coa6,OXPHOS,level_0,168
Coa7,OXPHOS,level_0,168
Coa8,OXPHOS,level_0,168
Cox10,OXPHOS,level_0,168
Cox11,OXPHOS,level_0,168
Cox14,OXPHOS,level_0,168
Cox15,OXPHOS,level_0,168
Cox16,OXPHOS,level_0,168
Cox17,OXPHOS,level_0,168
Cox18,OXPHOS,level_0,168
Cox19,OXPHOS,level_0,168
Cox20,OXPHOS,level_0,168
Cox4i1,OXPHOS,level_0,168
Cox4i2,OXPHOS,level_0,168
Cox5a,OXPHOS,level_0,168
Cox5b,OXPHOS,level_0,168
Cox6a1,OXPHOS,level_0,168
Cox6a2,OXPHOS,level_0,168
Cox6b1,OXPHOS,level_0,168
Cox6b2,OXPHOS,level_0,168
Cox6c,OXPHOS,level_0,168
Cox7a1,OXPHOS,level_0,168
Cox7a2,OXPHOS,level_0,168
Cox7a2l,OXPHOS,level_0,168
Cox7b,OXPHOS,level_0,168
Cox7c,OXPHOS,level_0,168
Cox8a,OXPHOS,level_0,168
Cox8b,OXPHOS,level_0,168
Cox8c,OXPHOS,level_0,168
Cyc1,OXPHOS,level_0,168
Cycs,OXPHOS,level_0,168
Cyct,OXPHOS,level_0,168
Dmac1,OXPHOS,level_0,168
Dmac2,OXPHOS,level_0,168
Dmac2l,OXPHOS,level_0,168
Ecsit,OXPHOS,level_0,168
Fmc1,OXPHOS,level_0,168
Foxred1,OXPHOS,level_0,168
Hccs,OXPHOS,level_0,168
Higd1a,OXPHOS,level_0,168
Higd2a,OXPHOS,level_0,168
Lyrm2,OXPHOS,level_0,168
Lyrm7,OXPHOS,level_0,168
Ndufa1,OXPHOS,level_0,168
Ndufa10,OXPHOS,level_0,168
Ndufa11,OXPHOS,level_0,168
Ndufa12,OXPHOS,level_0,168
Ndufa13,OXPHOS,level_0,168
Ndufa2,OXPHOS,level_0,168
Ndufa3,OXPHOS,level_0,168
Ndufa4,OXPHOS,level_0,168
Ndufa5,OXPHOS,level_0,168
Ndufa6,OXPHOS,level_0,168
Ndufa7,OXPHOS,level_0,168
Ndufa8,OXPHOS,level_0,168
Ndufa9,OXPHOS,level_0,168
Ndufab1,OXPHOS,level_0,168
Ndufaf1,OXPHOS,level_0,168
Ndufaf2,OXPHOS,level_0,168
Ndufaf3,OXPHOS,level_0,168
Ndufaf4,OXPHOS,level_0,168
Ndufaf5,OXPHOS,level_0,168
Ndufaf6,OXPHOS,level_0,168
Ndufaf7,OXPHOS,level_0,168
Ndufaf8,OXPHOS,level_0,168
Ndufb10,OXPHOS,level_0,168
Ndufb11,OXPHOS,level_0,168
Ndufb2,OXPHOS,level_0,168
Ndufb3,OXPHOS,level_0,168
Ndufb4,OXPHOS,level_0,168
Ndufb5,OXPHOS,level_0,168
Ndufb6,OXPHOS,level_0,168
Ndufb7,OXPHOS,level_0,168
Ndufb8,OXPHOS,level_0,168
Ndufb9,OXPHOS,level_0,168
Ndufc1,OXPHOS,level_0,168
Ndufc2,OXPHOS,level_0,168
Ndufs1,OXPHOS,level_0,168
Ndufs2,OXPHOS,level_0,168
Ndufs3,OXPHOS,level_0,168
Ndufs4,OXPHOS,level_0,168
Ndufs5,OXPHOS,level_0,168
Ndufs6,OXPHOS,level_0,168
Ndufs7,OXPHOS,level_0,168
Ndufs8,OXPHOS,level_0,168
Ndufv1,OXPHOS,level_0,168
Ndufv2,OXPHOS,level_0,168
Ndufv3,OXPHOS,level_0,168
Nubpl,OXPHOS,level_0,168
Pet100,OXPHOS,level_0,168
Pet117,OXPHOS,level_0,168
Pnkd,OXPHOS,level_0,168
Rab5if,OXPHOS,level_0,168
Sco1,OXPHOS,level_0,168
Sco2,OXPHOS,level_0,168
Sdha,OXPHOS,level_0,168
Sdhaf1,OXPHOS,level_0,168
Sdhaf2,OXPHOS,level_0,168
Sdhaf3,OXPHOS,level_0,168
Sdhaf4,OXPHOS,level_0,168
Sdhb,OXPHOS,level_0,168
Sdhc,OXPHOS,level_0,168
Sdhd,OXPHOS,level_0,168
Smim20,OXPHOS,level_0,168
Surf1,OXPHOS,level_0,168
Taco1,OXPHOS,level_0,168
Timm21,OXPHOS,level_0,168
Timmdc1,OXPHOS,level_0,168
Tmem126a,OXPHOS,level_0,168
Tmem126b,OXPHOS,level_0,168
Tmem177,OXPHOS,level_0,168
Tmem186,OXPHOS,level_0,168
Tmem70,OXPHOS,level_0,168
Ttc19,OXPHOS,level_0,168
