gene_symbol,pathway,level,n_genes
Afg1l,"Protein import, sorting and homeostasis",level_0,88
Afg3l1,"Protein import, sorting and homeostasis",level_0,88
Afg3l2,"Protein import, sorting and homeostasis",level_0,88
Agk,"Protein import, sorting and homeostasis",level_0,88
Aifm1,"Protein import, sorting and homeostasis",level_0,88
Atad1,"Protein import, sorting and homeostasis",level_0,88
Atp23,"Protein import, sorting and homeostasis",level_0,88
Casp3,"Protein import, sorting and homeostasis",level_0,88
Casp8,"Protein import, sorting and homeostasis",level_0,88
Casp9,"Protein import, sorting and homeostasis",level_0,88
Chchd4,"Protein import, sorting and homeostasis",level_0,88
Clpb,"Protein import, sorting and homeostasis",level_0,88
Clpp,"Protein import, sorting and homeostasis",level_0,88
Clpx,"Protein import, sorting and homeostasis",level_0,88
Dnaja3,"Protein import, sorting and homeostasis",level_0,88
Dnajc11,"Protein import, sorting and homeostasis",level_0,88
Dnajc15,"Protein import, sorting and homeostasis",level_0,88
Dnajc19,"Protein import, sorting and homeostasis",level_0,88
Dnajc4,"Protein import, sorting and homeostasis",level_0,88
Dnlz,"Protein import, sorting and homeostasis",level_0,88
Fkbp10,"Protein import, sorting and homeostasis",level_0,88
Gfer,"Protein import, sorting and homeostasis",level_0,88
Grpel1,"Protein import, sorting and homeostasis",level_0,88
Grpel2,"Protein import, sorting and homeostasis",level_0,88
Hspd1,"Protein import, sorting and homeostasis",level_0,88
Hspe1,"Protein import, sorting and homeostasis",level_0,88
Htra2,"Protein import, sorting and homeostasis",level_0,88
Ide,"Protein import, sorting and homeostasis",level_0,88
Immp1l,"Protein import, sorting and homeostasis",level_0,88
Immp2l,"Protein import, sorting and homeostasis",level_0,88
Lactb,"Protein import, sorting and homeostasis",level_0,88
Lap3,"Protein import, sorting and homeostasis",level_0,88
Lonp1,"Protein import, sorting and homeostasis",level_0,88
Maip1,"Protein import, sorting and homeostasis",level_0,88
Metap1d,"Protein import, sorting and homeostasis",level_0,88
Mipep,"Protein import, sorting and homeostasis",level_0,88
Mtx1,"Protein import, sorting and homeostasis",level_0,88
Mtx2,"Protein import, sorting and homeostasis",level_0,88
Mul1,"Protein import, sorting and homeostasis",level_0,88
Nln,"Protein import, sorting and homeostasis",level_0,88
Nrd1,"Protein import, sorting and homeostasis",level_0,88
Oma1,"Protein import, sorting and homeostasis",level_0,88
Oxa1l,"Protein import, sorting and homeostasis",level_0,88
Pam16,"Protein import, sorting and homeostasis",level_0,88
Park7,"Protein import, sorting and homeostasis",level_0,88
Parl,"Protein import, sorting and homeostasis",level_0,88
Pdf,"Protein import, sorting and homeostasis",level_0,88
Phb,"Protein import, sorting and homeostasis",level_0,88
Phb2,"Protein import, sorting and homeostasis",level_0,88
Pitrm1,"Protein import, sorting and homeostasis",level_0,88
Pmpca,"Protein import, sorting and homeostasis",level_0,88
Pmpcb,"Protein import, sorting and homeostasis",level_0,88
Prss35,"Protein import, sorting and homeostasis",level_0,88
Romo1,"Protein import, sorting and homeostasis",level_0,88
Samm50,"Protein import, sorting and homeostasis",level_0,88
Spg7,"Protein import, sorting and homeostasis",level_0,88
Stoml2,"Protein import, sorting and homeostasis",level_0,88
Timm10,"Protein import, sorting and homeostasis",level_0,88
Timm10b,"Protein import, sorting and homeostasis",level_0,88
Timm13,"Protein import, sorting and homeostasis",level_0,88
Timm17a,"Protein import, sorting and homeostasis",level_0,88
Timm17b,"Protein import, sorting and homeostasis",level_0,88
Timm21,"Protein import, sorting and homeostasis",level_0,88
Timm22,"Protein import, sorting and homeostasis",level_0,88
Timm23,"Protein import, sorting and homeostasis",level_0,88
Timm29,"Protein import, sorting and homeostasis",level_0,88
Timm44,"Protein import, sorting and homeostasis",level_0,88
Timm50,"Protein import, sorting and homeostasis",level_0,88
Timm8a1,"Protein import, sorting and homeostasis",level_0,88
Timm8a2,"Protein import, sorting and homeostasis",level_0,88
Timm8b,"Protein import, sorting and homeostasis",level_0,88
Timm9,"Protein import, sorting and homeostasis",level_0,88
Tomm20,"Protein import, sorting and homeostasis",level_0,88
Tomm20l,"Protein import, sorting and homeostasis",level_0,88
Tomm22,"Protein import, sorting and homeostasis",level_0,88
Tomm34,"Protein import, sorting and homeostasis",level_0,88
Tomm40,"Protein import, sorting and homeostasis",level_0,88
Tomm40l,"Protein import, sorting and homeostasis",level_0,88
Tomm5,"Protein import, sorting and homeostasis",level_0,88
Tomm6,"Protein import, sorting and homeostasis",level_0,88
Tomm7,"Protein import, sorting and homeostasis",level_0,88
Tomm70a,"Protein import, sorting and homeostasis",level_0,88
Trap1,"Protein import, sorting and homeostasis",level_0,88
Uqcrc1,"Protein import, sorting and homeostasis",level_0,88
Uqcrc2,"Protein import, sorting and homeostasis",level_0,88
Usp30,"Protein import, sorting and homeostasis",level_0,88
Xpnpep3,"Protein import, sorting and homeostasis",level_0,88
Yme1l1,"Protein import, sorting and homeostasis",level_0,88
