gene_symbol,pathway,level,n_genes
Acod1,Signaling,level_0,47
Adcy10,Signaling,level_0,47
Akap1,Signaling,level_0,47
Akap10,Signaling,level_0,47
Bloc1s1,Signaling,level_0,47
C1qbp,Signaling,level_0,47
Cstad,Signaling,level_0,47
Dele1,Signaling,level_0,47
Efhd1,Signaling,level_0,47
Fundc2,Signaling,level_0,47
Ifi27,Signaling,level_0,47
Letm1,Signaling,level_0,47
Lypla1,Signaling,level_0,47
Macrod1,Signaling,level_0,47
Mavs,Signaling,level_0,47
Mcrip2,Signaling,level_0,47
Mcu,Signaling,level_0,47
Mcub,Signaling,level_0,47
Micu1,Signaling,level_0,47
Micu2,Signaling,level_0,47
Micu3,Signaling,level_0,47
Mrs2,Signaling,level_0,47
Mul1,Signaling,level_0,47
Nlrx1,Signaling,level_0,47
Ociad2,Signaling,level_0,47
Pde2a,Signaling,level_0,47
Pink1,Signaling,level_0,47
Ppif,Signaling,level_0,47
Pptc7,Signaling,level_0,47
Prkaca,Signaling,level_0,47
Rhot1,Signaling,level_0,47
Rhot2,Signaling,level_0,47
Sirt3,Signaling,level_0,47
Slc25a12,Signaling,level_0,47
Slc25a13,Signaling,level_0,47
Slc25a23,Signaling,level_0,47
Slc25a24,Signaling,level_0,47
Slc25a25,Signaling,level_0,47
Slc25a3,Signaling,level_0,47
Slc25a31,Signaling,level_0,47
Slc25a4,Signaling,level_0,47
Slc25a5,Signaling,level_0,47
Slc8b1,Signaling,level_0,47
Smdt1,Signaling,level_0,47
Sphkap,Signaling,level_0,47
Vdac1,Signaling,level_0,47
Vdac3,Signaling,level_0,47
