gene_symbol,pathway,level,n_genes
Abca9,Small molecule transport,level_0,85
Abcb10,Small molecule transport,level_0,85
Abcb6,Small molecule transport,level_0,85
Abcb7,Small molecule transport,level_0,85
Abcb8,Small molecule transport,level_0,85
Abcd1,Small molecule transport,level_0,85
Abcd2,Small molecule transport,level_0,85
Abcd3,Small molecule transport,level_0,85
Ccdc51,Small molecule transport,level_0,85
Gm4984,Small molecule transport,level_0,85
Letmd1,Small molecule transport,level_0,85
Mcu,Small molecule transport,level_0,85
Mcub,Small molecule transport,level_0,85
Micu1,Small molecule transport,level_0,85
Micu2,Small molecule transport,level_0,85
Micu3,Small molecule transport,level_0,85
Mpc1,Small molecule transport,level_0,85
Mpc2,Small molecule transport,level_0,85
Mpv17,Small molecule transport,level_0,85
Mpv17l,Small molecule transport,level_0,85
Mrs2,Small molecule transport,level_0,85
Mtch1,Small molecule transport,level_0,85
Mtch2,Small molecule transport,level_0,85
Romo1,Small molecule transport,level_0,85
Sfxn1,Small molecule transport,level_0,85
Sfxn2,Small molecule transport,level_0,85
Sfxn3,Small molecule transport,level_0,85
Sfxn4,Small molecule transport,level_0,85
Sfxn5,Small molecule transport,level_0,85
Slc25a1,Small molecule transport,level_0,85
Slc25a10,Small molecule transport,level_0,85
Slc25a11,Small molecule transport,level_0,85
Slc25a12,Small molecule transport,level_0,85
Slc25a13,Small molecule transport,level_0,85
Slc25a14,Small molecule transport,level_0,85
Slc25a15,Small molecule transport,level_0,85
Slc25a16,Small molecule transport,level_0,85
Slc25a18,Small molecule transport,level_0,85
Slc25a19,Small molecule transport,level_0,85
Slc25a2,Small molecule transport,level_0,85
Slc25a20,Small molecule transport,level_0,85
Slc25a21,Small molecule transport,level_0,85
Slc25a22,Small molecule transport,level_0,85
Slc25a23,Small molecule transport,level_0,85
Slc25a24,Small molecule transport,level_0,85
Slc25a25,Small molecule transport,level_0,85
Slc25a26,Small molecule transport,level_0,85
Slc25a27,Small molecule transport,level_0,85
Slc25a28,Small molecule transport,level_0,85
Slc25a29,Small molecule transport,level_0,85
Slc25a3,Small molecule transport,level_0,85
Slc25a30,Small molecule transport,level_0,85
Slc25a31,Small molecule transport,level_0,85
Slc25a32,Small molecule transport,level_0,85
Slc25a33,Small molecule transport,level_0,85
Slc25a34,Small molecule transport,level_0,85
Slc25a35,Small molecule transport,level_0,85
Slc25a36,Small molecule transport,level_0,85
Slc25a37,Small molecule transport,level_0,85
Slc25a38,Small molecule transport,level_0,85
Slc25a39,Small molecule transport,level_0,85
Slc25a4,Small molecule transport,level_0,85
Slc25a40,Small molecule transport,level_0,85
Slc25a41,Small molecule transport,level_0,85
Slc25a42,Small molecule transport,level_0,85
Slc25a43,Small molecule transport,level_0,85
Slc25a44,Small molecule transport,level_0,85
Slc25a45,Small molecule transport,level_0,85
Slc25a46,Small molecule transport,level_0,85
Slc25a47,Small molecule transport,level_0,85
Slc25a48,Small molecule transport,level_0,85
Slc25a5,Small molecule transport,level_0,85
Slc25a51,Small molecule transport,level_0,85
Slc25a53,Small molecule transport,level_0,85
Slc25a54,Small molecule transport,level_0,85
Slc30a9,Small molecule transport,level_0,85
Slc8b1,Small molecule transport,level_0,85
Smdt1,Small molecule transport,level_0,85
Stard7,Small molecule transport,level_0,85
Ucp1,Small molecule transport,level_0,85
Ucp2,Small molecule transport,level_0,85
Ucp3,Small molecule transport,level_0,85
Vdac1,Small molecule transport,level_0,85
Vdac2,Small molecule transport,level_0,85
Vdac3,Small molecule transport,level_0,85
