gene_symbol,pathway,level,n_genes
Aadat,Amino acid metabolism,level_1,90
Aass,Amino acid metabolism,level_1,90
Abat,Amino acid metabolism,level_1,90
Acaa2,Amino acid metabolism,level_1,90
Acad8,Amino acid metabolism,level_1,90
Acadsb,Amino acid metabolism,level_1,90
Acat1,Amino acid metabolism,level_1,90
Adhfe1,Amino acid metabolism,level_1,90
Agmat,Amino acid metabolism,level_1,90
Agxt,Amino acid metabolism,level_1,90
Agxt2,Amino acid metabolism,level_1,90
Akr7a5,Amino acid metabolism,level_1,90
Aldh18a1,Amino acid metabolism,level_1,90
Aldh4a1,Amino acid metabolism,level_1,90
Aldh5a1,Amino acid metabolism,level_1,90
Aldh6a1,Amino acid metabolism,level_1,90
Aldh7a1,Amino acid metabolism,level_1,90
Aldh9a1,Amino acid metabolism,level_1,90
Amt,Amino acid metabolism,level_1,90
Arg2,Amino acid metabolism,level_1,90
Auh,Amino acid metabolism,level_1,90
Bcat2,Amino acid metabolism,level_1,90
Bckdha,Amino acid metabolism,level_1,90
Bckdhb,Amino acid metabolism,level_1,90
Bckdk,Amino acid metabolism,level_1,90
Car5a,Amino acid metabolism,level_1,90
Car5b,Amino acid metabolism,level_1,90
Chdh,Amino acid metabolism,level_1,90
Comt,Amino acid metabolism,level_1,90
Cps1,Amino acid metabolism,level_1,90
Dbt,Amino acid metabolism,level_1,90
Dglucy,Amino acid metabolism,level_1,90
Dhtkd1,Amino acid metabolism,level_1,90
Dld,Amino acid metabolism,level_1,90
Dlst,Amino acid metabolism,level_1,90
Dmgdh,Amino acid metabolism,level_1,90
Echs1,Amino acid metabolism,level_1,90
Etfa,Amino acid metabolism,level_1,90
Etfb,Amino acid metabolism,level_1,90
Etfdh,Amino acid metabolism,level_1,90
Gcat,Amino acid metabolism,level_1,90
Gcdh,Amino acid metabolism,level_1,90
Gcsh,Amino acid metabolism,level_1,90
Gldc,Amino acid metabolism,level_1,90
Gls,Amino acid metabolism,level_1,90
Gls2,Amino acid metabolism,level_1,90
Glud1,Amino acid metabolism,level_1,90
Glyat,Amino acid metabolism,level_1,90
Got2,Amino acid metabolism,level_1,90
Gpt2,Amino acid metabolism,level_1,90
Grhpr,Amino acid metabolism,level_1,90
Hadh,Amino acid metabolism,level_1,90
Hadha,Amino acid metabolism,level_1,90
Hadhb,Amino acid metabolism,level_1,90
Hibadh,Amino acid metabolism,level_1,90
Hibch,Amino acid metabolism,level_1,90
Hmgcl,Amino acid metabolism,level_1,90
Hoga1,Amino acid metabolism,level_1,90
Hsd17b10,Amino acid metabolism,level_1,90
Ivd,Amino acid metabolism,level_1,90
Kmo,Amino acid metabolism,level_1,90
Kyat3,Amino acid metabolism,level_1,90
Ldhb,Amino acid metabolism,level_1,90
Maoa,Amino acid metabolism,level_1,90
Maob,Amino acid metabolism,level_1,90
Mccc1,Amino acid metabolism,level_1,90
Mccc2,Amino acid metabolism,level_1,90
Nags,Amino acid metabolism,level_1,90
Nat8l,Amino acid metabolism,level_1,90
Oat,Amino acid metabolism,level_1,90
Otc,Amino acid metabolism,level_1,90
Ppm1k,Amino acid metabolism,level_1,90
Prodh,Amino acid metabolism,level_1,90
Prodh2,Amino acid metabolism,level_1,90
Pycr1,Amino acid metabolism,level_1,90
Pycr2,Amino acid metabolism,level_1,90
Sardh,Amino acid metabolism,level_1,90
Sdsl,Amino acid metabolism,level_1,90
Sfxn1,Amino acid metabolism,level_1,90
Sfxn3,Amino acid metabolism,level_1,90
Shmt2,Amino acid metabolism,level_1,90
Slc25a12,Amino acid metabolism,level_1,90
Slc25a13,Amino acid metabolism,level_1,90
Slc25a15,Amino acid metabolism,level_1,90
Slc25a2,Amino acid metabolism,level_1,90
Slc25a21,Amino acid metabolism,level_1,90
Slc25a29,Amino acid metabolism,level_1,90
Slc25a38,Amino acid metabolism,level_1,90
Slc25a44,Amino acid metabolism,level_1,90
Sugct,Amino acid metabolism,level_1,90
