gene_symbol,pathway,level,n_genes
Aifm1,Apoptosis,level_1,34
Aifm2,Apoptosis,level_1,34
Aifm3,Apoptosis,level_1,34
Bad,Apoptosis,level_1,34
Bak1,Apoptosis,level_1,34
Bax,Apoptosis,level_1,34
Bbc3,Apoptosis,level_1,34
Bcl2,Apoptosis,level_1,34
Bcl2a1d,Apoptosis,level_1,34
Bcl2l1,Apoptosis,level_1,34
Bcl2l10,Apoptosis,level_1,34
Bcl2l11,Apoptosis,level_1,34
Bcl2l13,Apoptosis,level_1,34
Bcl2l2,Apoptosis,level_1,34
Bid,Apoptosis,level_1,34
Bik,Apoptosis,level_1,34
Bnip3,Apoptosis,level_1,34
Bnip3l,Apoptosis,level_1,34
Bok,Apoptosis,level_1,34
Casp3,Apoptosis,level_1,34
Casp8,Apoptosis,level_1,34
Casp9,Apoptosis,level_1,34
Chchd2,Apoptosis,level_1,34
Cycs,Apoptosis,level_1,34
Diablo,Apoptosis,level_1,34
Endog,Apoptosis,level_1,34
Ghitm,Apoptosis,level_1,34
Htra2,Apoptosis,level_1,34
Ifi27,Apoptosis,level_1,34
Mcl1,Apoptosis,level_1,34
Pmaip1,Apoptosis,level_1,34
Septin4,Apoptosis,level_1,34
Sphk2,Apoptosis,level_1,34
Styxl1,Apoptosis,level_1,34
