gene_symbol,pathway,level,n_genes
Bcl2l13,Autophagy,level_1,18
Fkbp8,Autophagy,level_1,18
Fundc1,Autophagy,level_1,18
Marchf5,Autophagy,level_1,18
Nbr1,Autophagy,level_1,18
Nipsnap1,Autophagy,level_1,18
Nipsnap2,Autophagy,level_1,18
Park7,Autophagy,level_1,18
Parl,Autophagy,level_1,18
Pgam5,Autophagy,level_1,18
Pink1,Autophagy,level_1,18
Prkn,Autophagy,level_1,18
Rab24,Autophagy,level_1,18
Snap29,Autophagy,level_1,18
Stx17,Autophagy,level_1,18
Tomm7,Autophagy,level_1,18
Usp30,Autophagy,level_1,18
Vps13d,Autophagy,level_1,18
