gene_symbol,pathway,level,n_genes
Efhd1,Calcium homeostasis,level_1,23
Letm1,Calcium homeostasis,level_1,23
Mcu,Calcium homeostasis,level_1,23
Mcub,Calcium homeostasis,level_1,23
Micu1,Calcium homeostasis,level_1,23
Micu2,Calcium homeostasis,level_1,23
Micu3,Calcium homeostasis,level_1,23
Ppif,Calcium homeostasis,level_1,23
Rhot1,Calcium homeostasis,level_1,23
Rhot2,Calcium homeostasis,level_1,23
Slc25a12,Calcium homeostasis,level_1,23
Slc25a13,Calcium homeostasis,level_1,23
Slc25a23,Calcium homeostasis,level_1,23
Slc25a24,Calcium homeostasis,level_1,23
Slc25a25,Calcium homeostasis,level_1,23
Slc25a3,Calcium homeostasis,level_1,23
Slc25a31,Calcium homeostasis,level_1,23
Slc25a4,Calcium homeostasis,level_1,23
Slc25a5,Calcium homeostasis,level_1,23
Slc8b1,Calcium homeostasis,level_1,23
Smdt1,Calcium homeostasis,level_1,23
Vdac1,Calcium homeostasis,level_1,23
Vdac3,Calcium homeostasis,level_1,23
