gene_symbol,pathway,level,n_genes
Abhd11,Carbohydrate metabolism,level_1,73
Acaa2,Carbohydrate metabolism,level_1,73
Acat1,Carbohydrate metabolism,level_1,73
Acly,Carbohydrate metabolism,level_1,73
Aco2,Carbohydrate metabolism,level_1,73
Acod1,Carbohydrate metabolism,level_1,73
Auh,Carbohydrate metabolism,level_1,73
Bdh1,Carbohydrate metabolism,level_1,73
Clybl,Carbohydrate metabolism,level_1,73
Cs,Carbohydrate metabolism,level_1,73
D2hgdh,Carbohydrate metabolism,level_1,73
Dcxr,Carbohydrate metabolism,level_1,73
Dlat,Carbohydrate metabolism,level_1,73
Dld,Carbohydrate metabolism,level_1,73
Dlst,Carbohydrate metabolism,level_1,73
Fahd1,Carbohydrate metabolism,level_1,73
Fh1,Carbohydrate metabolism,level_1,73
Glyctk,Carbohydrate metabolism,level_1,73
Gm4984,Carbohydrate metabolism,level_1,73
Got2,Carbohydrate metabolism,level_1,73
Gpd2,Carbohydrate metabolism,level_1,73
Hadhb,Carbohydrate metabolism,level_1,73
Hmgcl,Carbohydrate metabolism,level_1,73
Hmgcs2,Carbohydrate metabolism,level_1,73
Idh2,Carbohydrate metabolism,level_1,73
Idh3a,Carbohydrate metabolism,level_1,73
Idh3b,Carbohydrate metabolism,level_1,73
Idh3g,Carbohydrate metabolism,level_1,73
L2hgdh,Carbohydrate metabolism,level_1,73
Ldhal6b,Carbohydrate metabolism,level_1,73
Ldhd,Carbohydrate metabolism,level_1,73
Mcee,Carbohydrate metabolism,level_1,73
Mdh2,Carbohydrate metabolism,level_1,73
Me2,Carbohydrate metabolism,level_1,73
Me3,Carbohydrate metabolism,level_1,73
Mmut,Carbohydrate metabolism,level_1,73
Mpc1,Carbohydrate metabolism,level_1,73
Mpc2,Carbohydrate metabolism,level_1,73
Mrps36,Carbohydrate metabolism,level_1,73
Neu4,Carbohydrate metabolism,level_1,73
Ogdh,Carbohydrate metabolism,level_1,73
Ogdhl,Carbohydrate metabolism,level_1,73
Oxct1,Carbohydrate metabolism,level_1,73
Oxct2a,Carbohydrate metabolism,level_1,73
Pcca,Carbohydrate metabolism,level_1,73
Pccb,Carbohydrate metabolism,level_1,73
Pck2,Carbohydrate metabolism,level_1,73
Pcx,Carbohydrate metabolism,level_1,73
Pdha1,Carbohydrate metabolism,level_1,73
Pdha2,Carbohydrate metabolism,level_1,73
Pdhb,Carbohydrate metabolism,level_1,73
Pdhx,Carbohydrate metabolism,level_1,73
Pdk1,Carbohydrate metabolism,level_1,73
Pdk2,Carbohydrate metabolism,level_1,73
Pdk3,Carbohydrate metabolism,level_1,73
Pdk4,Carbohydrate metabolism,level_1,73
Pdp1,Carbohydrate metabolism,level_1,73
Pdp2,Carbohydrate metabolism,level_1,73
Pdpr,Carbohydrate metabolism,level_1,73
Rpia,Carbohydrate metabolism,level_1,73
Sdha,Carbohydrate metabolism,level_1,73
Sdhb,Carbohydrate metabolism,level_1,73
Sdhc,Carbohydrate metabolism,level_1,73
Sdhd,Carbohydrate metabolism,level_1,73
Sfxn5,Carbohydrate metabolism,level_1,73
Slc25a1,Carbohydrate metabolism,level_1,73
Slc25a10,Carbohydrate metabolism,level_1,73
Slc25a11,Carbohydrate metabolism,level_1,73
Slc25a12,Carbohydrate metabolism,level_1,73
Slc25a13,Carbohydrate metabolism,level_1,73
Sucla2,Carbohydrate metabolism,level_1,73
Suclg1,Carbohydrate metabolism,level_1,73
Suclg2,Carbohydrate metabolism,level_1,73
