gene_symbol,pathway,level,n_genes
Cep89,Complex IV,level_1,50
Cmc1,Complex IV,level_1,50
Cmc2,Complex IV,level_1,50
Coa3,Complex IV,level_1,50
Coa4,Complex IV,level_1,50
Coa5,Complex IV,level_1,50
Coa6,Complex IV,level_1,50
Coa7,Complex IV,level_1,50
Coa8,Complex IV,level_1,50
Cox10,Complex IV,level_1,50
Cox11,Complex IV,level_1,50
Cox14,Complex IV,level_1,50
Cox15,Complex IV,level_1,50
Cox16,Complex IV,level_1,50
Cox17,Complex IV,level_1,50
Cox18,Complex IV,level_1,50
Cox19,Complex IV,level_1,50
Cox20,Complex IV,level_1,50
Cox4i1,Complex IV,level_1,50
Cox4i2,Complex IV,level_1,50
Cox5a,Complex IV,level_1,50
Cox5b,Complex IV,level_1,50
Cox6a1,Complex IV,level_1,50
Cox6a2,Complex IV,level_1,50
Cox6b1,Complex IV,level_1,50
Cox6b2,Complex IV,level_1,50
Cox6c,Complex IV,level_1,50
Cox7a1,Complex IV,level_1,50
Cox7a2,Complex IV,level_1,50
Cox7a2l,Complex IV,level_1,50
Cox7b,Complex IV,level_1,50
Cox7c,Complex IV,level_1,50
Cox8a,Complex IV,level_1,50
Cox8b,Complex IV,level_1,50
Cox8c,Complex IV,level_1,50
Higd1a,Complex IV,level_1,50
Ndufa4,Complex IV,level_1,50
Pet100,Complex IV,level_1,50
Pet117,Complex IV,level_1,50
Pnkd,Complex IV,level_1,50
Sco1,Complex IV,level_1,50
Sco2,Complex IV,level_1,50
Smim20,Complex IV,level_1,50
Surf1,Complex IV,level_1,50
Taco1,Complex IV,level_1,50
Timm21,Complex IV,level_1,50
Tmem177,Complex IV,level_1,50
mt-Co1,Complex IV,level_1,50
mt-Co2,Complex IV,level_1,50
mt-Co3,Complex IV,level_1,50
