gene_symbol,pathway,level,n_genes
Acad9,Complex I,level_1,64
Aifm1,Complex I,level_1,64
Dmac1,Complex I,level_1,64
Dmac2,Complex I,level_1,64
Ecsit,Complex I,level_1,64
Foxred1,Complex I,level_1,64
Lyrm2,Complex I,level_1,64
Ndufa1,Complex I,level_1,64
Ndufa10,Complex I,level_1,64
Ndufa11,Complex I,level_1,64
Ndufa12,Complex I,level_1,64
Ndufa13,Complex I,level_1,64
Ndufa2,Complex I,level_1,64
Ndufa3,Complex I,level_1,64
Ndufa5,Complex I,level_1,64
Ndufa6,Complex I,level_1,64
Ndufa7,Complex I,level_1,64
Ndufa8,Complex I,level_1,64
Ndufa9,Complex I,level_1,64
Ndufab1,Complex I,level_1,64
Ndufaf1,Complex I,level_1,64
Ndufaf2,Complex I,level_1,64
Ndufaf3,Complex I,level_1,64
Ndufaf4,Complex I,level_1,64
Ndufaf5,Complex I,level_1,64
Ndufaf6,Complex I,level_1,64
Ndufaf7,Complex I,level_1,64
Ndufaf8,Complex I,level_1,64
Ndufb10,Complex I,level_1,64
Ndufb11,Complex I,level_1,64
Ndufb2,Complex I,level_1,64
Ndufb3,Complex I,level_1,64
Ndufb4,Complex I,level_1,64
Ndufb5,Complex I,level_1,64
Ndufb6,Complex I,level_1,64
Ndufb7,Complex I,level_1,64
Ndufb8,Complex I,level_1,64
Ndufb9,Complex I,level_1,64
Ndufc1,Complex I,level_1,64
Ndufc2,Complex I,level_1,64
Ndufs1,Complex I,level_1,64
Ndufs2,Complex I,level_1,64
Ndufs3,Complex I,level_1,64
Ndufs4,Complex I,level_1,64
Ndufs5,Complex I,level_1,64
Ndufs6,Complex I,level_1,64
Ndufs7,Complex I,level_1,64
Ndufs8,Complex I,level_1,64
Ndufv1,Complex I,level_1,64
Ndufv2,Complex I,level_1,64
Ndufv3,Complex I,level_1,64
Nubpl,Complex I,level_1,64
Timmdc1,Complex I,level_1,64
Tmem126a,Complex I,level_1,64
Tmem126b,Complex I,level_1,64
Tmem186,Complex I,level_1,64
Tmem70,Complex I,level_1,64
mt-Nd1,Complex I,level_1,64
mt-Nd2,Complex I,level_1,64
mt-Nd3,Complex I,level_1,64
mt-Nd4,Complex I,level_1,64
mt-Nd4l,Complex I,level_1,64
mt-Nd5,Complex I,level_1,64
mt-Nd6,Complex I,level_1,64
