gene_symbol,pathway,level,n_genes
Abhd10,Detoxification,level_1,51
Acsm2,Detoxification,level_1,51
Acsm5,Detoxification,level_1,51
Aifm2,Detoxification,level_1,51
Akr1b10,Detoxification,level_1,51
Akr7a5,Detoxification,level_1,51
Aldh1b1,Detoxification,level_1,51
Aldh2,Detoxification,level_1,51
Aldh3a2,Detoxification,level_1,51
Aldh7a1,Detoxification,level_1,51
Aldh9a1,Detoxification,level_1,51
Bphl,Detoxification,level_1,51
Cat,Detoxification,level_1,51
Cbr3,Detoxification,level_1,51
Cyb5b,Detoxification,level_1,51
Cyb5r3,Detoxification,level_1,51
Dhrs2,Detoxification,level_1,51
Ephx2,Detoxification,level_1,51
Glrx2,Detoxification,level_1,51
Glyat,Detoxification,level_1,51
Gpx1,Detoxification,level_1,51
Gpx4,Detoxification,level_1,51
Gsr,Detoxification,level_1,51
Gstk1,Detoxification,level_1,51
Gstz1,Detoxification,level_1,51
Hagh,Detoxification,level_1,51
Maoa,Detoxification,level_1,51
Maob,Detoxification,level_1,51
Mgst1,Detoxification,level_1,51
Mpst,Detoxification,level_1,51
Msra,Detoxification,level_1,51
Msrb2,Detoxification,level_1,51
Msrb3,Detoxification,level_1,51
Mtarc1,Detoxification,level_1,51
Mtarc2,Detoxification,level_1,51
Nit1,Detoxification,level_1,51
Nit2,Detoxification,level_1,51
Oxr1,Detoxification,level_1,51
Prdx2,Detoxification,level_1,51
Prdx3,Detoxification,level_1,51
Prdx4,Detoxification,level_1,51
Prdx5,Detoxification,level_1,51
Prdx6,Detoxification,level_1,51
Prxl2a,Detoxification,level_1,51
Selenoo,Detoxification,level_1,51
Sod1,Detoxification,level_1,51
Sod2,Detoxification,level_1,51
Tst,Detoxification,level_1,51
Txn2,Detoxification,level_1,51
Txnrd1,Detoxification,level_1,51
Txnrd2,Detoxification,level_1,51
