gene_symbol,pathway,level,n_genes
Acaa1a,Lipid metabolism,level_1,126
Acaa1b,Lipid metabolism,level_1,126
Acaa2,Lipid metabolism,level_1,126
Acaca,Lipid metabolism,level_1,126
Acacb,Lipid metabolism,level_1,126
Acad10,Lipid metabolism,level_1,126
Acad11,Lipid metabolism,level_1,126
Acad12,Lipid metabolism,level_1,126
Acadl,Lipid metabolism,level_1,126
Acadm,Lipid metabolism,level_1,126
Acads,Lipid metabolism,level_1,126
Acadsb,Lipid metabolism,level_1,126
Acadvl,Lipid metabolism,level_1,126
Acat1,Lipid metabolism,level_1,126
Acot10,Lipid metabolism,level_1,126
Acot11,Lipid metabolism,level_1,126
Acot13,Lipid metabolism,level_1,126
Acot2,Lipid metabolism,level_1,126
Acot7,Lipid metabolism,level_1,126
Acot9,Lipid metabolism,level_1,126
Acp6,Lipid metabolism,level_1,126
Acsf2,Lipid metabolism,level_1,126
Acsf3,Lipid metabolism,level_1,126
Acsl1,Lipid metabolism,level_1,126
Acsl6,Lipid metabolism,level_1,126
Acsm1,Lipid metabolism,level_1,126
Acsm2,Lipid metabolism,level_1,126
Acsm3,Lipid metabolism,level_1,126
Acsm4,Lipid metabolism,level_1,126
Acsm5,Lipid metabolism,level_1,126
Acss1,Lipid metabolism,level_1,126
Acss3,Lipid metabolism,level_1,126
Agk,Lipid metabolism,level_1,126
Agpat4,Lipid metabolism,level_1,126
Agpat5,Lipid metabolism,level_1,126
Akr1b7,Lipid metabolism,level_1,126
Amacr,Lipid metabolism,level_1,126
Cbr4,Lipid metabolism,level_1,126
Chpt1,Lipid metabolism,level_1,126
Cpt1a,Lipid metabolism,level_1,126
Cpt1b,Lipid metabolism,level_1,126
Cpt1c,Lipid metabolism,level_1,126
Cpt2,Lipid metabolism,level_1,126
Crat,Lipid metabolism,level_1,126
Crls1,Lipid metabolism,level_1,126
Crot,Lipid metabolism,level_1,126
Cyb5r3,Lipid metabolism,level_1,126
Cyp11a1,Lipid metabolism,level_1,126
Cyp11b1,Lipid metabolism,level_1,126
Cyp11b2,Lipid metabolism,level_1,126
Cyp27a1,Lipid metabolism,level_1,126
Dbi,Lipid metabolism,level_1,126
Decr1,Lipid metabolism,level_1,126
Dhrs1,Lipid metabolism,level_1,126
Ech1,Lipid metabolism,level_1,126
Echdc1,Lipid metabolism,level_1,126
Echs1,Lipid metabolism,level_1,126
Eci1,Lipid metabolism,level_1,126
Eci2,Lipid metabolism,level_1,126
Ehhadh,Lipid metabolism,level_1,126
Ephx2,Lipid metabolism,level_1,126
Etfa,Lipid metabolism,level_1,126
Etfb,Lipid metabolism,level_1,126
Etfdh,Lipid metabolism,level_1,126
Fabp1,Lipid metabolism,level_1,126
Fasn,Lipid metabolism,level_1,126
Fdps,Lipid metabolism,level_1,126
Fdx1,Lipid metabolism,level_1,126
Fdxr,Lipid metabolism,level_1,126
Gcsh,Lipid metabolism,level_1,126
Gpam,Lipid metabolism,level_1,126
Gpat2,Lipid metabolism,level_1,126
H2-Ke6,Lipid metabolism,level_1,126
Hadh,Lipid metabolism,level_1,126
Hadha,Lipid metabolism,level_1,126
Hadhb,Lipid metabolism,level_1,126
Hao2,Lipid metabolism,level_1,126
Hint2,Lipid metabolism,level_1,126
Hsd17b10,Lipid metabolism,level_1,126
Hsd17b4,Lipid metabolism,level_1,126
Htd2,Lipid metabolism,level_1,126
Idi1,Lipid metabolism,level_1,126
Lactb,Lipid metabolism,level_1,126
Lias,Lipid metabolism,level_1,126
Lipt1,Lipid metabolism,level_1,126
Lipt2,Lipid metabolism,level_1,126
Lypla1,Lipid metabolism,level_1,126
Lyplal1,Lipid metabolism,level_1,126
Mcat,Lipid metabolism,level_1,126
Mcee,Lipid metabolism,level_1,126
Mecr,Lipid metabolism,level_1,126
Mgst3,Lipid metabolism,level_1,126
Mlycd,Lipid metabolism,level_1,126
Mmut,Lipid metabolism,level_1,126
Ndufab1,Lipid metabolism,level_1,126
Osbpl1a,Lipid metabolism,level_1,126
Oxsm,Lipid metabolism,level_1,126
Pcca,Lipid metabolism,level_1,126
Pccb,Lipid metabolism,level_1,126
Pgs1,Lipid metabolism,level_1,126
Phyh,Lipid metabolism,level_1,126
Pisd,Lipid metabolism,level_1,126
Pld6,Lipid metabolism,level_1,126
Plscr3,Lipid metabolism,level_1,126
Pnpla8,Lipid metabolism,level_1,126
Prdx6,Lipid metabolism,level_1,126
Prelid1,Lipid metabolism,level_1,126
Prelid3a,Lipid metabolism,level_1,126
Prelid3b,Lipid metabolism,level_1,126
Ptges2,Lipid metabolism,level_1,126
Ptpmt1,Lipid metabolism,level_1,126
Scp2,Lipid metabolism,level_1,126
Serac1,Lipid metabolism,level_1,126
Slc25a1,Lipid metabolism,level_1,126
Slc25a20,Lipid metabolism,level_1,126
Sphk2,Lipid metabolism,level_1,126
Sptlc2,Lipid metabolism,level_1,126
Star,Lipid metabolism,level_1,126
Stard7,Lipid metabolism,level_1,126
Tamm41,Lipid metabolism,level_1,126
Taz,Lipid metabolism,level_1,126
Them4,Lipid metabolism,level_1,126
Them5,Lipid metabolism,level_1,126
Triap1,Lipid metabolism,level_1,126
Tspo,Lipid metabolism,level_1,126
Zadh2,Lipid metabolism,level_1,126
