gene_symbol,pathway,level,n_genes
Abat,Metals and cofactors,level_1,120
Abcb10,Metals and cofactors,level_1,120
Abcb6,Metals and cofactors,level_1,120
Abcb7,Metals and cofactors,level_1,120
Aco2,Metals and cofactors,level_1,120
Aifm3,Metals and cofactors,level_1,120
Alas1,Metals and cofactors,level_1,120
Alas2,Metals and cofactors,level_1,120
Bola1,Metals and cofactors,level_1,120
Bola3,Metals and cofactors,level_1,120
Chchd7,Metals and cofactors,level_1,120
Cisd1,Metals and cofactors,level_1,120
Cisd3,Metals and cofactors,level_1,120
Coasy,Metals and cofactors,level_1,120
Coq10a,Metals and cofactors,level_1,120
Coq10b,Metals and cofactors,level_1,120
Coq2,Metals and cofactors,level_1,120
Coq3,Metals and cofactors,level_1,120
Coq4,Metals and cofactors,level_1,120
Coq5,Metals and cofactors,level_1,120
Coq6,Metals and cofactors,level_1,120
Coq7,Metals and cofactors,level_1,120
Coq8a,Metals and cofactors,level_1,120
Coq8b,Metals and cofactors,level_1,120
Coq9,Metals and cofactors,level_1,120
Cox10,Metals and cofactors,level_1,120
Cox11,Metals and cofactors,level_1,120
Cox15,Metals and cofactors,level_1,120
Cox17,Metals and cofactors,level_1,120
Cox19,Metals and cofactors,level_1,120
Cpox,Metals and cofactors,level_1,120
Cpt1a,Metals and cofactors,level_1,120
Cpt1b,Metals and cofactors,level_1,120
Cpt1c,Metals and cofactors,level_1,120
Cpt2,Metals and cofactors,level_1,120
Cyb5b,Metals and cofactors,level_1,120
Cyc1,Metals and cofactors,level_1,120
Cycs,Metals and cofactors,level_1,120
Cyp11a1,Metals and cofactors,level_1,120
Cyp11b2,Metals and cofactors,level_1,120
Cyp24a1,Metals and cofactors,level_1,120
Cyp27a1,Metals and cofactors,level_1,120
Cyp27b1,Metals and cofactors,level_1,120
Dna2,Metals and cofactors,level_1,120
Etfdh,Metals and cofactors,level_1,120
Fabp1,Metals and cofactors,level_1,120
Fam210b,Metals and cofactors,level_1,120
Fdx1,Metals and cofactors,level_1,120
Fdx2,Metals and cofactors,level_1,120
Fdxr,Metals and cofactors,level_1,120
Fech,Metals and cofactors,level_1,120
Fth1,Metals and cofactors,level_1,120
Ftmt,Metals and cofactors,level_1,120
Fxn,Metals and cofactors,level_1,120
Glrx2,Metals and cofactors,level_1,120
Glrx5,Metals and cofactors,level_1,120
Grpel1,Metals and cofactors,level_1,120
Grpel2,Metals and cofactors,level_1,120
Hccs,Metals and cofactors,level_1,120
Hscb,Metals and cofactors,level_1,120
Hspa9,Metals and cofactors,level_1,120
Iba57,Metals and cofactors,level_1,120
Isca1,Metals and cofactors,level_1,120
Isca2,Metals and cofactors,level_1,120
Iscu,Metals and cofactors,level_1,120
Kmo,Metals and cofactors,level_1,120
Kyat3,Metals and cofactors,level_1,120
Lias,Metals and cofactors,level_1,120
Lyrm4,Metals and cofactors,level_1,120
Mocs1,Metals and cofactors,level_1,120
Mtarc1,Metals and cofactors,level_1,120
Mtarc2,Metals and cofactors,level_1,120
Nadk2,Metals and cofactors,level_1,120
Naxd,Metals and cofactors,level_1,120
Naxe,Metals and cofactors,level_1,120
Ndufab1,Metals and cofactors,level_1,120
Ndufs1,Metals and cofactors,level_1,120
Ndufs2,Metals and cofactors,level_1,120
Ndufs7,Metals and cofactors,level_1,120
Ndufs8,Metals and cofactors,level_1,120
Ndufv1,Metals and cofactors,level_1,120
Ndufv2,Metals and cofactors,level_1,120
Nfs1,Metals and cofactors,level_1,120
Nfu1,Metals and cofactors,level_1,120
Nmnat3,Metals and cofactors,level_1,120
Nnt,Metals and cofactors,level_1,120
Noct,Metals and cofactors,level_1,120
Nthl1,Metals and cofactors,level_1,120
Nubpl,Metals and cofactors,level_1,120
Nudt13,Metals and cofactors,level_1,120
Nudt19,Metals and cofactors,level_1,120
Nudt8,Metals and cofactors,level_1,120
Pank2,Metals and cofactors,level_1,120
Pcbd2,Metals and cofactors,level_1,120
Pdss1,Metals and cofactors,level_1,120
Pdss2,Metals and cofactors,level_1,120
Ppox,Metals and cofactors,level_1,120
Qdpr,Metals and cofactors,level_1,120
Rsad1,Metals and cofactors,level_1,120
Sco1,Metals and cofactors,level_1,120
Sco2,Metals and cofactors,level_1,120
Sdhb,Metals and cofactors,level_1,120
Sdhc,Metals and cofactors,level_1,120
Sdhd,Metals and cofactors,level_1,120
Sirt3,Metals and cofactors,level_1,120
Sirt4,Metals and cofactors,level_1,120
Sirt5,Metals and cofactors,level_1,120
Slc25a20,Metals and cofactors,level_1,120
Slc25a28,Metals and cofactors,level_1,120
Slc25a3,Metals and cofactors,level_1,120
Slc25a37,Metals and cofactors,level_1,120
Slc25a38,Metals and cofactors,level_1,120
Slc25a42,Metals and cofactors,level_1,120
Slc25a51,Metals and cofactors,level_1,120
Spr,Metals and cofactors,level_1,120
Suox,Metals and cofactors,level_1,120
Tmlhe,Metals and cofactors,level_1,120
Uqcrfs1,Metals and cofactors,level_1,120
mt-Co1,Metals and cofactors,level_1,120
mt-Cytb,Metals and cofactors,level_1,120
