gene_symbol,pathway,level,n_genes
Ak2,Nucleotide metabolism,level_1,37
Ak3,Nucleotide metabolism,level_1,37
Ak4,Nucleotide metabolism,level_1,37
Antkmt,Nucleotide metabolism,level_1,37
Ckmt1,Nucleotide metabolism,level_1,37
Ckmt2,Nucleotide metabolism,level_1,37
Cmpk2,Nucleotide metabolism,level_1,37
Dguok,Nucleotide metabolism,level_1,37
Dhodh,Nucleotide metabolism,level_1,37
Dut,Nucleotide metabolism,level_1,37
Fhit,Nucleotide metabolism,level_1,37
Gatm,Nucleotide metabolism,level_1,37
Guk1,Nucleotide metabolism,level_1,37
Hint1,Nucleotide metabolism,level_1,37
Nme3,Nucleotide metabolism,level_1,37
Nme4,Nucleotide metabolism,level_1,37
Nme6,Nucleotide metabolism,level_1,37
Nt5dc2,Nucleotide metabolism,level_1,37
Nt5m,Nucleotide metabolism,level_1,37
Nudt2,Nucleotide metabolism,level_1,37
Nudt5,Nucleotide metabolism,level_1,37
Nudt9,Nucleotide metabolism,level_1,37
Paics,Nucleotide metabolism,level_1,37
Ppa2,Nucleotide metabolism,level_1,37
Slc25a23,Nucleotide metabolism,level_1,37
Slc25a24,Nucleotide metabolism,level_1,37
Slc25a25,Nucleotide metabolism,level_1,37
Slc25a31,Nucleotide metabolism,level_1,37
Slc25a33,Nucleotide metabolism,level_1,37
Slc25a36,Nucleotide metabolism,level_1,37
Slc25a4,Nucleotide metabolism,level_1,37
Slc25a41,Nucleotide metabolism,level_1,37
Slc25a5,Nucleotide metabolism,level_1,37
Sucla2,Nucleotide metabolism,level_1,37
Suclg1,Nucleotide metabolism,level_1,37
Suclg2,Nucleotide metabolism,level_1,37
Tk2,Nucleotide metabolism,level_1,37
