gene_symbol,pathway,level,n_genes
Acad9,OXPHOS assembly factors,level_1,67
Aifm1,OXPHOS assembly factors,level_1,67
Atpaf1,OXPHOS assembly factors,level_1,67
Atpaf2,OXPHOS assembly factors,level_1,67
Atpsckmt,OXPHOS assembly factors,level_1,67
Bcs1l,OXPHOS assembly factors,level_1,67
Cep89,OXPHOS assembly factors,level_1,67
Cmc1,OXPHOS assembly factors,level_1,67
Cmc2,OXPHOS assembly factors,level_1,67
Coa3,OXPHOS assembly factors,level_1,67
Coa4,OXPHOS assembly factors,level_1,67
Coa5,OXPHOS assembly factors,level_1,67
Coa6,OXPHOS assembly factors,level_1,67
Coa7,OXPHOS assembly factors,level_1,67
Coa8,OXPHOS assembly factors,level_1,67
Cox10,OXPHOS assembly factors,level_1,67
Cox11,OXPHOS assembly factors,level_1,67
Cox14,OXPHOS assembly factors,level_1,67
Cox15,OXPHOS assembly factors,level_1,67
Cox16,OXPHOS assembly factors,level_1,67
Cox17,OXPHOS assembly factors,level_1,67
Cox18,OXPHOS assembly factors,level_1,67
Cox19,OXPHOS assembly factors,level_1,67
Cox20,OXPHOS assembly factors,level_1,67
Cox7a2l,OXPHOS assembly factors,level_1,67
Dmac1,OXPHOS assembly factors,level_1,67
Dmac2,OXPHOS assembly factors,level_1,67
Ecsit,OXPHOS assembly factors,level_1,67
Fmc1,OXPHOS assembly factors,level_1,67
Foxred1,OXPHOS assembly factors,level_1,67
Higd1a,OXPHOS assembly factors,level_1,67
Higd2a,OXPHOS assembly factors,level_1,67
Lyrm2,OXPHOS assembly factors,level_1,67
Lyrm7,OXPHOS assembly factors,level_1,67
Ndufaf1,OXPHOS assembly factors,level_1,67
Ndufaf2,OXPHOS assembly factors,level_1,67
Ndufaf3,OXPHOS assembly factors,level_1,67
Ndufaf4,OXPHOS assembly factors,level_1,67
Ndufaf5,OXPHOS assembly factors,level_1,67
Ndufaf6,OXPHOS assembly factors,level_1,67
Ndufaf7,OXPHOS assembly factors,level_1,67
Ndufaf8,OXPHOS assembly factors,level_1,67
Nubpl,OXPHOS assembly factors,level_1,67
Pet100,OXPHOS assembly factors,level_1,67
Pet117,OXPHOS assembly factors,level_1,67
Pnkd,OXPHOS assembly factors,level_1,67
Rab5if,OXPHOS assembly factors,level_1,67
Sco1,OXPHOS assembly factors,level_1,67
Sco2,OXPHOS assembly factors,level_1,67
Sdhaf1,OXPHOS assembly factors,level_1,67
Sdhaf2,OXPHOS assembly factors,level_1,67
Sdhaf3,OXPHOS assembly factors,level_1,67
Sdhaf4,OXPHOS assembly factors,level_1,67
Smim20,OXPHOS assembly factors,level_1,67
Surf1,OXPHOS assembly factors,level_1,67
Taco1,OXPHOS assembly factors,level_1,67
Timm21,OXPHOS assembly factors,level_1,67
Timmdc1,OXPHOS assembly factors,level_1,67
Tmem126a,OXPHOS assembly factors,level_1,67
Tmem126b,OXPHOS assembly factors,level_1,67
Tmem177,OXPHOS assembly factors,level_1,67
Tmem186,OXPHOS assembly factors,level_1,67
Tmem70,OXPHOS assembly factors,level_1,67
Ttc19,OXPHOS assembly factors,level_1,67
Uqcc1,OXPHOS assembly factors,level_1,67
Uqcc2,OXPHOS assembly factors,level_1,67
Uqcc3,OXPHOS assembly factors,level_1,67
