gene_symbol,pathway,level,n_genes
Atp5a1,OXPHOS subunits,level_1,102
Atp5b,OXPHOS subunits,level_1,102
Atp5c1,OXPHOS subunits,level_1,102
Atp5d,OXPHOS subunits,level_1,102
Atp5e,OXPHOS subunits,level_1,102
Atp5g1,OXPHOS subunits,level_1,102
Atp5g2,OXPHOS subunits,level_1,102
Atp5g3,OXPHOS subunits,level_1,102
Atp5h,OXPHOS subunits,level_1,102
Atp5j,OXPHOS subunits,level_1,102
Atp5j2,OXPHOS subunits,level_1,102
Atp5k,OXPHOS subunits,level_1,102
Atp5l,OXPHOS subunits,level_1,102
Atp5md,OXPHOS subunits,level_1,102
Atp5mpl,OXPHOS subunits,level_1,102
Atp5o,OXPHOS subunits,level_1,102
Atp5pb,OXPHOS subunits,level_1,102
Atpif1,OXPHOS subunits,level_1,102
Cox4i1,OXPHOS subunits,level_1,102
Cox4i2,OXPHOS subunits,level_1,102
Cox5a,OXPHOS subunits,level_1,102
Cox5b,OXPHOS subunits,level_1,102
Cox6a1,OXPHOS subunits,level_1,102
Cox6a2,OXPHOS subunits,level_1,102
Cox6b1,OXPHOS subunits,level_1,102
Cox6b2,OXPHOS subunits,level_1,102
Cox6c,OXPHOS subunits,level_1,102
Cox7a1,OXPHOS subunits,level_1,102
Cox7a2,OXPHOS subunits,level_1,102
Cox7a2l,OXPHOS subunits,level_1,102
Cox7b,OXPHOS subunits,level_1,102
Cox7c,OXPHOS subunits,level_1,102
Cox8a,OXPHOS subunits,level_1,102
Cox8b,OXPHOS subunits,level_1,102
Cox8c,OXPHOS subunits,level_1,102
Cyc1,OXPHOS subunits,level_1,102
Cycs,OXPHOS subunits,level_1,102
Cyct,OXPHOS subunits,level_1,102
Dmac2l,OXPHOS subunits,level_1,102
Hccs,OXPHOS subunits,level_1,102
Ndufa1,OXPHOS subunits,level_1,102
Ndufa10,OXPHOS subunits,level_1,102
Ndufa11,OXPHOS subunits,level_1,102
Ndufa12,OXPHOS subunits,level_1,102
Ndufa13,OXPHOS subunits,level_1,102
Ndufa2,OXPHOS subunits,level_1,102
Ndufa3,OXPHOS subunits,level_1,102
Ndufa4,OXPHOS subunits,level_1,102
Ndufa5,OXPHOS subunits,level_1,102
Ndufa6,OXPHOS subunits,level_1,102
Ndufa7,OXPHOS subunits,level_1,102
Ndufa8,OXPHOS subunits,level_1,102
Ndufa9,OXPHOS subunits,level_1,102
Ndufab1,OXPHOS subunits,level_1,102
Ndufb10,OXPHOS subunits,level_1,102
Ndufb11,OXPHOS subunits,level_1,102
Ndufb2,OXPHOS subunits,level_1,102
Ndufb3,OXPHOS subunits,level_1,102
Ndufb4,OXPHOS subunits,level_1,102
Ndufb5,OXPHOS subunits,level_1,102
Ndufb6,OXPHOS subunits,level_1,102
Ndufb7,OXPHOS subunits,level_1,102
Ndufb8,OXPHOS subunits,level_1,102
Ndufb9,OXPHOS subunits,level_1,102
Ndufc1,OXPHOS subunits,level_1,102
Ndufc2,OXPHOS subunits,level_1,102
Ndufs1,OXPHOS subunits,level_1,102
Ndufs2,OXPHOS subunits,level_1,102
Ndufs3,OXPHOS subunits,level_1,102
Ndufs4,OXPHOS subunits,level_1,102
Ndufs5,OXPHOS subunits,level_1,102
Ndufs6,OXPHOS subunits,level_1,102
Ndufs7,OXPHOS subunits,level_1,102
Ndufs8,OXPHOS subunits,level_1,102
Ndufv1,OXPHOS subunits,level_1,102
Ndufv2,OXPHOS subunits,level_1,102
Ndufv3,OXPHOS subunits,level_1,102
Sdha,OXPHOS subunits,level_1,102
Sdhb,OXPHOS subunits,level_1,102
Sdhc,OXPHOS subunits,level_1,102
Sdhd,OXPHOS subunits,level_1,102
Uqcr10,OXPHOS subunits,level_1,102
Uqcr11,OXPHOS subunits,level_1,102
Uqcrb,OXPHOS subunits,level_1,102
Uqcrc1,OXPHOS subunits,level_1,102
Uqcrc2,OXPHOS subunits,level_1,102
Uqcrfs1,OXPHOS subunits,level_1,102
Uqcrh,OXPHOS subunits,level_1,102
Uqcrq,OXPHOS subunits,level_1,102
mt-Atp6,OXPHOS subunits,level_1,102
mt-Atp8,OXPHOS subunits,level_1,102
mt-Co1,OXPHOS subunits,level_1,102
mt-Co2,OXPHOS subunits,level_1,102
mt-Co3,OXPHOS subunits,level_1,102
mt-Cytb,OXPHOS subunits,level_1,102
mt-Nd1,OXPHOS subunits,level_1,102
mt-Nd2,OXPHOS subunits,level_1,102
mt-Nd3,OXPHOS subunits,level_1,102
mt-Nd4,OXPHOS subunits,level_1,102
mt-Nd4l,OXPHOS subunits,level_1,102
mt-Nd5,OXPHOS subunits,level_1,102
mt-Nd6,OXPHOS subunits,level_1,102
