gene_symbol,pathway,level,n_genes
Afg1l,Protein homeostasis,level_1,53
Afg3l1,Protein homeostasis,level_1,53
Afg3l2,Protein homeostasis,level_1,53
Atad1,Protein homeostasis,level_1,53
Atp23,Protein homeostasis,level_1,53
Casp3,Protein homeostasis,level_1,53
Casp8,Protein homeostasis,level_1,53
Casp9,Protein homeostasis,level_1,53
Clpb,Protein homeostasis,level_1,53
Clpp,Protein homeostasis,level_1,53
Clpx,Protein homeostasis,level_1,53
Dnaja3,Protein homeostasis,level_1,53
Dnajc4,Protein homeostasis,level_1,53
Dnlz,Protein homeostasis,level_1,53
Fkbp10,Protein homeostasis,level_1,53
Hspd1,Protein homeostasis,level_1,53
Hspe1,Protein homeostasis,level_1,53
Htra2,Protein homeostasis,level_1,53
Ide,Protein homeostasis,level_1,53
Immp1l,Protein homeostasis,level_1,53
Immp2l,Protein homeostasis,level_1,53
Lactb,Protein homeostasis,level_1,53
Lap3,Protein homeostasis,level_1,53
Lonp1,Protein homeostasis,level_1,53
Maip1,Protein homeostasis,level_1,53
Metap1d,Protein homeostasis,level_1,53
Mipep,Protein homeostasis,level_1,53
Mul1,Protein homeostasis,level_1,53
Nln,Protein homeostasis,level_1,53
Nrd1,Protein homeostasis,level_1,53
Oma1,Protein homeostasis,level_1,53
Park7,Protein homeostasis,level_1,53
Parl,Protein homeostasis,level_1,53
Pdf,Protein homeostasis,level_1,53
Phb,Protein homeostasis,level_1,53
Phb2,Protein homeostasis,level_1,53
Pitrm1,Protein homeostasis,level_1,53
Pmpca,Protein homeostasis,level_1,53
Pmpcb,Protein homeostasis,level_1,53
Prss35,Protein homeostasis,level_1,53
Spg7,Protein homeostasis,level_1,53
Stoml2,Protein homeostasis,level_1,53
Timm10,Protein homeostasis,level_1,53
Timm10b,Protein homeostasis,level_1,53
Timm13,Protein homeostasis,level_1,53
Timm8a1,Protein homeostasis,level_1,53
Timm8a2,Protein homeostasis,level_1,53
Timm8b,Protein homeostasis,level_1,53
Timm9,Protein homeostasis,level_1,53
Trap1,Protein homeostasis,level_1,53
Usp30,Protein homeostasis,level_1,53
Xpnpep3,Protein homeostasis,level_1,53
Yme1l1,Protein homeostasis,level_1,53
