gene_symbol,pathway,level,n_genes
Agk,Protein import and sorting,level_1,49
Aifm1,Protein import and sorting,level_1,49
Chchd4,Protein import and sorting,level_1,49
Dnajc11,Protein import and sorting,level_1,49
Dnajc15,Protein import and sorting,level_1,49
Dnajc19,Protein import and sorting,level_1,49
Gfer,Protein import and sorting,level_1,49
Grpel1,Protein import and sorting,level_1,49
Grpel2,Protein import and sorting,level_1,49
Immp1l,Protein import and sorting,level_1,49
Immp2l,Protein import and sorting,level_1,49
Mipep,Protein import and sorting,level_1,49
Mtx1,Protein import and sorting,level_1,49
Mtx2,Protein import and sorting,level_1,49
Nrd1,Protein import and sorting,level_1,49
Oxa1l,Protein import and sorting,level_1,49
Pam16,Protein import and sorting,level_1,49
Pmpca,Protein import and sorting,level_1,49
Pmpcb,Protein import and sorting,level_1,49
Romo1,Protein import and sorting,level_1,49
Samm50,Protein import and sorting,level_1,49
Timm10,Protein import and sorting,level_1,49
Timm10b,Protein import and sorting,level_1,49
Timm13,Protein import and sorting,level_1,49
Timm17a,Protein import and sorting,level_1,49
Timm17b,Protein import and sorting,level_1,49
Timm21,Protein import and sorting,level_1,49
Timm22,Protein import and sorting,level_1,49
Timm23,Protein import and sorting,level_1,49
Timm29,Protein import and sorting,level_1,49
Timm44,Protein import and sorting,level_1,49
Timm50,Protein import and sorting,level_1,49
Timm8a1,Protein import and sorting,level_1,49
Timm8a2,Protein import and sorting,level_1,49
Timm8b,Protein import and sorting,level_1,49
Timm9,Protein import and sorting,level_1,49
Tomm20,Protein import and sorting,level_1,49
Tomm20l,Protein import and sorting,level_1,49
Tomm22,Protein import and sorting,level_1,49
Tomm34,Protein import and sorting,level_1,49
Tomm40,Protein import and sorting,level_1,49
Tomm40l,Protein import and sorting,level_1,49
Tomm5,Protein import and sorting,level_1,49
Tomm6,Protein import and sorting,level_1,49
Tomm7,Protein import and sorting,level_1,49
Tomm70a,Protein import and sorting,level_1,49
Uqcrc1,Protein import and sorting,level_1,49
Uqcrc2,Protein import and sorting,level_1,49
Xpnpep3,Protein import and sorting,level_1,49
