gene_symbol,pathway,level,n_genes
Mtch1,SLC25A family,level_1,51
Mtch2,SLC25A family,level_1,51
Slc25a1,SLC25A family,level_1,51
Slc25a10,SLC25A family,level_1,51
Slc25a11,SLC25A family,level_1,51
Slc25a12,SLC25A family,level_1,51
Slc25a13,SLC25A family,level_1,51
Slc25a14,SLC25A family,level_1,51
Slc25a15,SLC25A family,level_1,51
Slc25a16,SLC25A family,level_1,51
Slc25a18,SLC25A family,level_1,51
Slc25a19,SLC25A family,level_1,51
Slc25a2,SLC25A family,level_1,51
Slc25a20,SLC25A family,level_1,51
Slc25a21,SLC25A family,level_1,51
Slc25a22,SLC25A family,level_1,51
Slc25a23,SLC25A family,level_1,51
Slc25a24,SLC25A family,level_1,51
Slc25a25,SLC25A family,level_1,51
Slc25a26,SLC25A family,level_1,51
Slc25a27,SLC25A family,level_1,51
Slc25a28,SLC25A family,level_1,51
Slc25a29,SLC25A family,level_1,51
Slc25a3,SLC25A family,level_1,51
Slc25a30,SLC25A family,level_1,51
Slc25a31,SLC25A family,level_1,51
Slc25a32,SLC25A family,level_1,51
Slc25a33,SLC25A family,level_1,51
Slc25a34,SLC25A family,level_1,51
Slc25a35,SLC25A family,level_1,51
Slc25a36,SLC25A family,level_1,51
Slc25a37,SLC25A family,level_1,51
Slc25a38,SLC25A family,level_1,51
Slc25a39,SLC25A family,level_1,51
Slc25a4,SLC25A family,level_1,51
Slc25a40,SLC25A family,level_1,51
Slc25a41,SLC25A family,level_1,51
Slc25a42,SLC25A family,level_1,51
Slc25a43,SLC25A family,level_1,51
Slc25a44,SLC25A family,level_1,51
Slc25a45,SLC25A family,level_1,51
Slc25a46,SLC25A family,level_1,51
Slc25a47,SLC25A family,level_1,51
Slc25a48,SLC25A family,level_1,51
Slc25a5,SLC25A family,level_1,51
Slc25a51,SLC25A family,level_1,51
Slc25a53,SLC25A family,level_1,51
Slc25a54,SLC25A family,level_1,51
Ucp1,SLC25A family,level_1,51
Ucp2,SLC25A family,level_1,51
Ucp3,SLC25A family,level_1,51
