gene_symbol,pathway,level,n_genes
2810006K23Rik,Translation,level_1,155
Aars2,Translation,level_1,155
Aurkaip1,Translation,level_1,155
Cars2,Translation,level_1,155
Chchd1,Translation,level_1,155
Coa3,Translation,level_1,155
Cox14,Translation,level_1,155
Dap3,Translation,level_1,155
Dars2,Translation,level_1,155
Ddx28,Translation,level_1,155
Dhx30,Translation,level_1,155
Ears2,Translation,level_1,155
Eral1,Translation,level_1,155
Exd2,Translation,level_1,155
Fars2,Translation,level_1,155
Fastkd2,Translation,level_1,155
Gadd45gip1,Translation,level_1,155
Gars,Translation,level_1,155
Gatb,Translation,level_1,155
Gatc,Translation,level_1,155
Gfm1,Translation,level_1,155
Gfm2,Translation,level_1,155
Grsf1,Translation,level_1,155
Gtpbp10,Translation,level_1,155
Guf1,Translation,level_1,155
Hars2,Translation,level_1,155
Hemk1,Translation,level_1,155
Iars2,Translation,level_1,155
Kars,Translation,level_1,155
Lars2,Translation,level_1,155
Lrpprc,Translation,level_1,155
Malsu1,Translation,level_1,155
Mars2,Translation,level_1,155
Metap1d,Translation,level_1,155
Mettl17,Translation,level_1,155
Mief1,Translation,level_1,155
Mpv17l2,Translation,level_1,155
Mrm2,Translation,level_1,155
Mrm3,Translation,level_1,155
Mrpl1,Translation,level_1,155
Mrpl10,Translation,level_1,155
Mrpl11,Translation,level_1,155
Mrpl12,Translation,level_1,155
Mrpl13,Translation,level_1,155
Mrpl14,Translation,level_1,155
Mrpl15,Translation,level_1,155
Mrpl16,Translation,level_1,155
Mrpl17,Translation,level_1,155
Mrpl18,Translation,level_1,155
Mrpl19,Translation,level_1,155
Mrpl2,Translation,level_1,155
Mrpl20,Translation,level_1,155
Mrpl21,Translation,level_1,155
Mrpl22,Translation,level_1,155
Mrpl23,Translation,level_1,155
Mrpl24,Translation,level_1,155
Mrpl27,Translation,level_1,155
Mrpl28,Translation,level_1,155
Mrpl3,Translation,level_1,155
Mrpl30,Translation,level_1,155
Mrpl32,Translation,level_1,155
Mrpl33,Translation,level_1,155
Mrpl34,Translation,level_1,155
Mrpl35,Translation,level_1,155
Mrpl36,Translation,level_1,155
Mrpl37,Translation,level_1,155
Mrpl38,Translation,level_1,155
Mrpl39,Translation,level_1,155
Mrpl4,Translation,level_1,155
Mrpl40,Translation,level_1,155
Mrpl41,Translation,level_1,155
Mrpl42,Translation,level_1,155
Mrpl43,Translation,level_1,155
Mrpl44,Translation,level_1,155
Mrpl45,Translation,level_1,155
Mrpl46,Translation,level_1,155
Mrpl47,Translation,level_1,155
Mrpl48,Translation,level_1,155
Mrpl49,Translation,level_1,155
Mrpl50,Translation,level_1,155
Mrpl51,Translation,level_1,155
Mrpl52,Translation,level_1,155
Mrpl53,Translation,level_1,155
Mrpl54,Translation,level_1,155
Mrpl55,Translation,level_1,155
Mrpl57,Translation,level_1,155
Mrpl58,Translation,level_1,155
Mrpl9,Translation,level_1,155
Mrps10,Translation,level_1,155
Mrps11,Translation,level_1,155
Mrps12,Translation,level_1,155
Mrps14,Translation,level_1,155
Mrps15,Translation,level_1,155
Mrps16,Translation,level_1,155
Mrps17,Translation,level_1,155
Mrps18a,Translation,level_1,155
Mrps18b,Translation,level_1,155
Mrps18c,Translation,level_1,155
Mrps2,Translation,level_1,155
Mrps21,Translation,level_1,155
Mrps22,Translation,level_1,155
Mrps23,Translation,level_1,155
Mrps24,Translation,level_1,155
Mrps25,Translation,level_1,155
Mrps26,Translation,level_1,155
Mrps27,Translation,level_1,155
Mrps28,Translation,level_1,155
Mrps30,Translation,level_1,155
Mrps31,Translation,level_1,155
Mrps33,Translation,level_1,155
Mrps34,Translation,level_1,155
Mrps35,Translation,level_1,155
Mrps36,Translation,level_1,155
Mrps5,Translation,level_1,155
Mrps6,Translation,level_1,155
Mrps7,Translation,level_1,155
Mrps9,Translation,level_1,155
Mrrf,Translation,level_1,155
Mterf1a,Translation,level_1,155
Mterf3,Translation,level_1,155
Mterf4,Translation,level_1,155
Mtfmt,Translation,level_1,155
Mtg1,Translation,level_1,155
Mtg2,Translation,level_1,155
Mtif2,Translation,level_1,155
Mtif3,Translation,level_1,155
Mtres1,Translation,level_1,155
Mtrf1,Translation,level_1,155
Mtrf1l,Translation,level_1,155
Nars2,Translation,level_1,155
Ngrn,Translation,level_1,155
Noa1,Translation,level_1,155
Nsun4,Translation,level_1,155
Oxa1l,Translation,level_1,155
Pars2,Translation,level_1,155
Pdf,Translation,level_1,155
Ppa2,Translation,level_1,155
Ptcd3,Translation,level_1,155
Pusl1,Translation,level_1,155
Qrsl1,Translation,level_1,155
Rars2,Translation,level_1,155
Rbfa,Translation,level_1,155
Rmnd1,Translation,level_1,155
Sars2,Translation,level_1,155
Slirp,Translation,level_1,155
Taco1,Translation,level_1,155
Tars2,Translation,level_1,155
Tfb1m,Translation,level_1,155
Timm21,Translation,level_1,155
Tsfm,Translation,level_1,155
Tufm,Translation,level_1,155
Vars2,Translation,level_1,155
Wars2,Translation,level_1,155
Yars2,Translation,level_1,155
Ybey,Translation,level_1,155
