gene_symbol,pathway,level,n_genes
Acaca,Vitamin metabolism,level_1,50
Acacb,Vitamin metabolism,level_1,50
Akr1b10,Vitamin metabolism,level_1,50
Aldh1l1,Vitamin metabolism,level_1,50
Aldh1l2,Vitamin metabolism,level_1,50
Aldh7a1,Vitamin metabolism,level_1,50
Amt,Vitamin metabolism,level_1,50
Bco2,Vitamin metabolism,level_1,50
Chdh,Vitamin metabolism,level_1,50
Cyp24a1,Vitamin metabolism,level_1,50
Cyp27b1,Vitamin metabolism,level_1,50
Dhrs4,Vitamin metabolism,level_1,50
Dmgdh,Vitamin metabolism,level_1,50
Etfa,Vitamin metabolism,level_1,50
Etfb,Vitamin metabolism,level_1,50
Etfdh,Vitamin metabolism,level_1,50
Fdx1,Vitamin metabolism,level_1,50
Fdxr,Vitamin metabolism,level_1,50
Flad1,Vitamin metabolism,level_1,50
Fpgs,Vitamin metabolism,level_1,50
Glrx2,Vitamin metabolism,level_1,50
Gtpbp3,Vitamin metabolism,level_1,50
Mccc1,Vitamin metabolism,level_1,50
Mmaa,Vitamin metabolism,level_1,50
Mmab,Vitamin metabolism,level_1,50
Mmadhc,Vitamin metabolism,level_1,50
Mmut,Vitamin metabolism,level_1,50
Mtfmt,Vitamin metabolism,level_1,50
Mthfd1l,Vitamin metabolism,level_1,50
Mthfd2,Vitamin metabolism,level_1,50
Mthfd2l,Vitamin metabolism,level_1,50
Mthfs,Vitamin metabolism,level_1,50
Mthfsl,Vitamin metabolism,level_1,50
Mto1,Vitamin metabolism,level_1,50
Pcca,Vitamin metabolism,level_1,50
Pcx,Vitamin metabolism,level_1,50
Plpbp,Vitamin metabolism,level_1,50
Pnpo,Vitamin metabolism,level_1,50
Qdpr,Vitamin metabolism,level_1,50
Rdh13,Vitamin metabolism,level_1,50
Rdh14,Vitamin metabolism,level_1,50
Rfk,Vitamin metabolism,level_1,50
Sardh,Vitamin metabolism,level_1,50
Sfxn1,Vitamin metabolism,level_1,50
Sfxn3,Vitamin metabolism,level_1,50
Shmt2,Vitamin metabolism,level_1,50
Slc25a19,Vitamin metabolism,level_1,50
Slc25a32,Vitamin metabolism,level_1,50
Slc25a38,Vitamin metabolism,level_1,50
Txn2,Vitamin metabolism,level_1,50
