gene_symbol,pathway,level,n_genes
Apex1,mtDNA maintenance,level_1,31
Atad3a,mtDNA maintenance,level_1,31
Dna2,mtDNA maintenance,level_1,31
Endog,mtDNA maintenance,level_1,31
Exog,mtDNA maintenance,level_1,31
Lig3,mtDNA maintenance,level_1,31
Mettl4,mtDNA maintenance,level_1,31
Mgme1,mtDNA maintenance,level_1,31
Mterf1a,mtDNA maintenance,level_1,31
Mterf1b,mtDNA maintenance,level_1,31
Mterf2,mtDNA maintenance,level_1,31
Mutyh,mtDNA maintenance,level_1,31
Ogg1,mtDNA maintenance,level_1,31
Pif1,mtDNA maintenance,level_1,31
Polb,mtDNA maintenance,level_1,31
Poldip2,mtDNA maintenance,level_1,31
Polg,mtDNA maintenance,level_1,31
Polg2,mtDNA maintenance,level_1,31
Polq,mtDNA maintenance,level_1,31
Polrmt,mtDNA maintenance,level_1,31
Ppa2,mtDNA maintenance,level_1,31
Primpol,mtDNA maintenance,level_1,31
Recql4,mtDNA maintenance,level_1,31
Rnaseh1,mtDNA maintenance,level_1,31
Ssbp1,mtDNA maintenance,level_1,31
Tfam,mtDNA maintenance,level_1,31
Tfb2m,mtDNA maintenance,level_1,31
Top1mt,mtDNA maintenance,level_1,31
Top3a,mtDNA maintenance,level_1,31
Twnk,mtDNA maintenance,level_1,31
Ung,mtDNA maintenance,level_1,31
