gene_symbol,pathway,level,n_genes
Alkbh1,mtRNA metabolism,level_1,76
Angel2,mtRNA metabolism,level_1,76
Cdk5rap1,mtRNA metabolism,level_1,76
Ddx28,mtRNA metabolism,level_1,76
Dhx30,mtRNA metabolism,level_1,76
Dus2,mtRNA metabolism,level_1,76
Elac2,mtRNA metabolism,level_1,76
Endog,mtRNA metabolism,level_1,76
Eral1,mtRNA metabolism,level_1,76
Fastk,mtRNA metabolism,level_1,76
Fastkd1,mtRNA metabolism,level_1,76
Fastkd2,mtRNA metabolism,level_1,76
Fastkd3,mtRNA metabolism,level_1,76
Fastkd5,mtRNA metabolism,level_1,76
Grsf1,mtRNA metabolism,level_1,76
Gtpbp3,mtRNA metabolism,level_1,76
Hsd17b10,mtRNA metabolism,level_1,76
Lactb2,mtRNA metabolism,level_1,76
Lrpprc,mtRNA metabolism,level_1,76
Mettl15,mtRNA metabolism,level_1,76
Mettl17,mtRNA metabolism,level_1,76
Mettl5,mtRNA metabolism,level_1,76
Mettl8,mtRNA metabolism,level_1,76
Mrm1,mtRNA metabolism,level_1,76
Mrm2,mtRNA metabolism,level_1,76
Mrm3,mtRNA metabolism,level_1,76
Mrpl12,mtRNA metabolism,level_1,76
Mrpl47,mtRNA metabolism,level_1,76
Mrps7,mtRNA metabolism,level_1,76
Mrps9,mtRNA metabolism,level_1,76
Mterf1a,mtRNA metabolism,level_1,76
Mterf1b,mtRNA metabolism,level_1,76
Mto1,mtRNA metabolism,level_1,76
Mtpap,mtRNA metabolism,level_1,76
Mtres1,mtRNA metabolism,level_1,76
Myg1,mtRNA metabolism,level_1,76
Ngrn,mtRNA metabolism,level_1,76
Noa1,mtRNA metabolism,level_1,76
Nsun2,mtRNA metabolism,level_1,76
Nsun3,mtRNA metabolism,level_1,76
Nsun4,mtRNA metabolism,level_1,76
Osgepl1,mtRNA metabolism,level_1,76
Pde12,mtRNA metabolism,level_1,76
Pnpt1,mtRNA metabolism,level_1,76
Polrmt,mtRNA metabolism,level_1,76
Ppa2,mtRNA metabolism,level_1,76
Prorp,mtRNA metabolism,level_1,76
Ptcd1,mtRNA metabolism,level_1,76
Ptcd2,mtRNA metabolism,level_1,76
Pus1,mtRNA metabolism,level_1,76
Qtrt1,mtRNA metabolism,level_1,76
Rcc1l,mtRNA metabolism,level_1,76
Rexo2,mtRNA metabolism,level_1,76
Rmnd1,mtRNA metabolism,level_1,76
Rnaseh1,mtRNA metabolism,level_1,76
Rpusd3,mtRNA metabolism,level_1,76
Rpusd4,mtRNA metabolism,level_1,76
Slirp,mtRNA metabolism,level_1,76
Supv3l1,mtRNA metabolism,level_1,76
Tbrg4,mtRNA metabolism,level_1,76
Tefm,mtRNA metabolism,level_1,76
Tfam,mtRNA metabolism,level_1,76
Tfb1m,mtRNA metabolism,level_1,76
Tfb2m,mtRNA metabolism,level_1,76
Thg1l,mtRNA metabolism,level_1,76
Top1mt,mtRNA metabolism,level_1,76
Trit1,mtRNA metabolism,level_1,76
Trmt1,mtRNA metabolism,level_1,76
Trmt10c,mtRNA metabolism,level_1,76
Trmt2b,mtRNA metabolism,level_1,76
Trmt5,mtRNA metabolism,level_1,76
Trmu,mtRNA metabolism,level_1,76
Trnt1,mtRNA metabolism,level_1,76
Trub2,mtRNA metabolism,level_1,76
Ybey,mtRNA metabolism,level_1,76
Yrdc,mtRNA metabolism,level_1,76
