gene_symbol,pathway,level,n_genes
Acad8,Branched-chain amino acid metabolism,level_2,25
Acadsb,Branched-chain amino acid metabolism,level_2,25
Acat1,Branched-chain amino acid metabolism,level_2,25
Aldh6a1,Branched-chain amino acid metabolism,level_2,25
Auh,Branched-chain amino acid metabolism,level_2,25
Bcat2,Branched-chain amino acid metabolism,level_2,25
Bckdha,Branched-chain amino acid metabolism,level_2,25
Bckdhb,Branched-chain amino acid metabolism,level_2,25
Bckdk,Branched-chain amino acid metabolism,level_2,25
Dbt,Branched-chain amino acid metabolism,level_2,25
Dld,Branched-chain amino acid metabolism,level_2,25
Echs1,Branched-chain amino acid metabolism,level_2,25
Etfa,Branched-chain amino acid metabolism,level_2,25
Etfb,Branched-chain amino acid metabolism,level_2,25
Etfdh,Branched-chain amino acid metabolism,level_2,25
Hadha,Branched-chain amino acid metabolism,level_2,25
Hibadh,Branched-chain amino acid metabolism,level_2,25
Hibch,Branched-chain amino acid metabolism,level_2,25
Hmgcl,Branched-chain amino acid metabolism,level_2,25
Hsd17b10,Branched-chain amino acid metabolism,level_2,25
Ivd,Branched-chain amino acid metabolism,level_2,25
Mccc1,Branched-chain amino acid metabolism,level_2,25
Mccc2,Branched-chain amino acid metabolism,level_2,25
Ppm1k,Branched-chain amino acid metabolism,level_2,25
Slc25a44,Branched-chain amino acid metabolism,level_2,25
