gene_symbol,pathway,level,n_genes
Cep89,CIV assembly factors,level_2,29
Cmc1,CIV assembly factors,level_2,29
Cmc2,CIV assembly factors,level_2,29
Coa3,CIV assembly factors,level_2,29
Coa4,CIV assembly factors,level_2,29
Coa5,CIV assembly factors,level_2,29
Coa6,CIV assembly factors,level_2,29
Coa7,CIV assembly factors,level_2,29
Coa8,CIV assembly factors,level_2,29
Cox10,CIV assembly factors,level_2,29
Cox11,CIV assembly factors,level_2,29
Cox14,CIV assembly factors,level_2,29
Cox15,CIV assembly factors,level_2,29
Cox16,CIV assembly factors,level_2,29
Cox17,CIV assembly factors,level_2,29
Cox18,CIV assembly factors,level_2,29
Cox19,CIV assembly factors,level_2,29
Cox20,CIV assembly factors,level_2,29
Higd1a,CIV assembly factors,level_2,29
Pet100,CIV assembly factors,level_2,29
Pet117,CIV assembly factors,level_2,29
Pnkd,CIV assembly factors,level_2,29
Sco1,CIV assembly factors,level_2,29
Sco2,CIV assembly factors,level_2,29
Smim20,CIV assembly factors,level_2,29
Surf1,CIV assembly factors,level_2,29
Taco1,CIV assembly factors,level_2,29
Timm21,CIV assembly factors,level_2,29
Tmem177,CIV assembly factors,level_2,29
