gene_symbol,pathway,level,n_genes
Acad9,CI assembly factors,level_2,21
Aifm1,CI assembly factors,level_2,21
Dmac1,CI assembly factors,level_2,21
Dmac2,CI assembly factors,level_2,21
Ecsit,CI assembly factors,level_2,21
Foxred1,CI assembly factors,level_2,21
Lyrm2,CI assembly factors,level_2,21
Ndufaf1,CI assembly factors,level_2,21
Ndufaf2,CI assembly factors,level_2,21
Ndufaf3,CI assembly factors,level_2,21
Ndufaf4,CI assembly factors,level_2,21
Ndufaf5,CI assembly factors,level_2,21
Ndufaf6,CI assembly factors,level_2,21
Ndufaf7,CI assembly factors,level_2,21
Ndufaf8,CI assembly factors,level_2,21
Nubpl,CI assembly factors,level_2,21
Timmdc1,CI assembly factors,level_2,21
Tmem126a,CI assembly factors,level_2,21
Tmem126b,CI assembly factors,level_2,21
Tmem186,CI assembly factors,level_2,21
Tmem70,CI assembly factors,level_2,21
