gene_symbol,pathway,level,n_genes
Ndufa1,CI subunits,level_2,43
Ndufa10,CI subunits,level_2,43
Ndufa11,CI subunits,level_2,43
Ndufa12,CI subunits,level_2,43
Ndufa13,CI subunits,level_2,43
Ndufa2,CI subunits,level_2,43
Ndufa3,CI subunits,level_2,43
Ndufa5,CI subunits,level_2,43
Ndufa6,CI subunits,level_2,43
Ndufa7,CI subunits,level_2,43
Ndufa8,CI subunits,level_2,43
Ndufa9,CI subunits,level_2,43
Ndufab1,CI subunits,level_2,43
Ndufb10,CI subunits,level_2,43
Ndufb11,CI subunits,level_2,43
Ndufb2,CI subunits,level_2,43
Ndufb3,CI subunits,level_2,43
Ndufb4,CI subunits,level_2,43
Ndufb5,CI subunits,level_2,43
Ndufb6,CI subunits,level_2,43
Ndufb7,CI subunits,level_2,43
Ndufb8,CI subunits,level_2,43
Ndufb9,CI subunits,level_2,43
Ndufc1,CI subunits,level_2,43
Ndufc2,CI subunits,level_2,43
Ndufs1,CI subunits,level_2,43
Ndufs2,CI subunits,level_2,43
Ndufs3,CI subunits,level_2,43
Ndufs4,CI subunits,level_2,43
Ndufs5,CI subunits,level_2,43
Ndufs6,CI subunits,level_2,43
Ndufs7,CI subunits,level_2,43
Ndufs8,CI subunits,level_2,43
Ndufv1,CI subunits,level_2,43
Ndufv2,CI subunits,level_2,43
Ndufv3,CI subunits,level_2,43
mt-Nd1,CI subunits,level_2,43
mt-Nd2,CI subunits,level_2,43
mt-Nd3,CI subunits,level_2,43
mt-Nd4,CI subunits,level_2,43
mt-Nd4l,CI subunits,level_2,43
mt-Nd5,CI subunits,level_2,43
mt-Nd6,CI subunits,level_2,43
