gene_symbol,pathway,level,n_genes
Dnaja3,Chaperones,level_2,17
Dnlz,Chaperones,level_2,17
Fkbp10,Chaperones,level_2,17
Hspd1,Chaperones,level_2,17
Hspe1,Chaperones,level_2,17
Maip1,Chaperones,level_2,17
Nrd1,Chaperones,level_2,17
Phb,Chaperones,level_2,17
Phb2,Chaperones,level_2,17
Timm10,Chaperones,level_2,17
Timm10b,Chaperones,level_2,17
Timm13,Chaperones,level_2,17
Timm8a1,Chaperones,level_2,17
Timm8a2,Chaperones,level_2,17
Timm8b,Chaperones,level_2,17
Timm9,Chaperones,level_2,17
Trap1,Chaperones,level_2,17
