gene_symbol,pathway,level,n_genes
Coq10a,Coenzyme Q metabolism,level_2,13
Coq10b,Coenzyme Q metabolism,level_2,13
Coq2,Coenzyme Q metabolism,level_2,13
Coq3,Coenzyme Q metabolism,level_2,13
Coq4,Coenzyme Q metabolism,level_2,13
Coq5,Coenzyme Q metabolism,level_2,13
Coq6,Coenzyme Q metabolism,level_2,13
Coq7,Coenzyme Q metabolism,level_2,13
Coq8a,Coenzyme Q metabolism,level_2,13
Coq8b,Coenzyme Q metabolism,level_2,13
Coq9,Coenzyme Q metabolism,level_2,13
Pdss1,Coenzyme Q metabolism,level_2,13
Pdss2,Coenzyme Q metabolism,level_2,13
