gene_symbol,pathway,level,n_genes
Acaa1a,Fatty acid oxidation,level_2,45
Acaa2,Fatty acid oxidation,level_2,45
Acacb,Fatty acid oxidation,level_2,45
Acad10,Fatty acid oxidation,level_2,45
Acad11,Fatty acid oxidation,level_2,45
Acad12,Fatty acid oxidation,level_2,45
Acadl,Fatty acid oxidation,level_2,45
Acadm,Fatty acid oxidation,level_2,45
Acads,Fatty acid oxidation,level_2,45
Acadsb,Fatty acid oxidation,level_2,45
Acadvl,Fatty acid oxidation,level_2,45
Acat1,Fatty acid oxidation,level_2,45
Acot11,Fatty acid oxidation,level_2,45
Acsf2,Fatty acid oxidation,level_2,45
Acsl1,Fatty acid oxidation,level_2,45
Acsl6,Fatty acid oxidation,level_2,45
Acsm1,Fatty acid oxidation,level_2,45
Acsm2,Fatty acid oxidation,level_2,45
Acsm3,Fatty acid oxidation,level_2,45
Acsm4,Fatty acid oxidation,level_2,45
Acsm5,Fatty acid oxidation,level_2,45
Acss1,Fatty acid oxidation,level_2,45
Amacr,Fatty acid oxidation,level_2,45
Cpt1a,Fatty acid oxidation,level_2,45
Cpt1b,Fatty acid oxidation,level_2,45
Cpt1c,Fatty acid oxidation,level_2,45
Cpt2,Fatty acid oxidation,level_2,45
Crat,Fatty acid oxidation,level_2,45
Crot,Fatty acid oxidation,level_2,45
Decr1,Fatty acid oxidation,level_2,45
Echs1,Fatty acid oxidation,level_2,45
Eci1,Fatty acid oxidation,level_2,45
Eci2,Fatty acid oxidation,level_2,45
Etfa,Fatty acid oxidation,level_2,45
Etfb,Fatty acid oxidation,level_2,45
Etfdh,Fatty acid oxidation,level_2,45
Hadh,Fatty acid oxidation,level_2,45
Hadha,Fatty acid oxidation,level_2,45
Hadhb,Fatty acid oxidation,level_2,45
Hsd17b10,Fatty acid oxidation,level_2,45
Mcee,Fatty acid oxidation,level_2,45
Mmut,Fatty acid oxidation,level_2,45
Pcca,Fatty acid oxidation,level_2,45
Pccb,Fatty acid oxidation,level_2,45
Slc25a20,Fatty acid oxidation,level_2,45
