gene_symbol,pathway,level,n_genes
Abat,Fe-S-containing proteins,level_2,31
Aco2,Fe-S-containing proteins,level_2,31
Aifm3,Fe-S-containing proteins,level_2,31
Bola1,Fe-S-containing proteins,level_2,31
Bola3,Fe-S-containing proteins,level_2,31
Cisd1,Fe-S-containing proteins,level_2,31
Cisd3,Fe-S-containing proteins,level_2,31
Dna2,Fe-S-containing proteins,level_2,31
Etfdh,Fe-S-containing proteins,level_2,31
Fdx1,Fe-S-containing proteins,level_2,31
Fdx2,Fe-S-containing proteins,level_2,31
Fech,Fe-S-containing proteins,level_2,31
Glrx2,Fe-S-containing proteins,level_2,31
Glrx5,Fe-S-containing proteins,level_2,31
Isca1,Fe-S-containing proteins,level_2,31
Isca2,Fe-S-containing proteins,level_2,31
Iscu,Fe-S-containing proteins,level_2,31
Lias,Fe-S-containing proteins,level_2,31
Ndufs1,Fe-S-containing proteins,level_2,31
Ndufs2,Fe-S-containing proteins,level_2,31
Ndufs7,Fe-S-containing proteins,level_2,31
Ndufs8,Fe-S-containing proteins,level_2,31
Ndufv1,Fe-S-containing proteins,level_2,31
Ndufv2,Fe-S-containing proteins,level_2,31
Nfs1,Fe-S-containing proteins,level_2,31
Nfu1,Fe-S-containing proteins,level_2,31
Nthl1,Fe-S-containing proteins,level_2,31
Nubpl,Fe-S-containing proteins,level_2,31
Rsad1,Fe-S-containing proteins,level_2,31
Sdhb,Fe-S-containing proteins,level_2,31
Uqcrfs1,Fe-S-containing proteins,level_2,31
