gene_symbol,pathway,level,n_genes
Abcb7,Fe-S cluster biosynthesis,level_2,23
Bola1,Fe-S cluster biosynthesis,level_2,23
Bola3,Fe-S cluster biosynthesis,level_2,23
Cisd1,Fe-S cluster biosynthesis,level_2,23
Cisd3,Fe-S cluster biosynthesis,level_2,23
Fdx1,Fe-S cluster biosynthesis,level_2,23
Fdx2,Fe-S cluster biosynthesis,level_2,23
Fdxr,Fe-S cluster biosynthesis,level_2,23
Fxn,Fe-S cluster biosynthesis,level_2,23
Glrx5,Fe-S cluster biosynthesis,level_2,23
Grpel1,Fe-S cluster biosynthesis,level_2,23
Grpel2,Fe-S cluster biosynthesis,level_2,23
Hscb,Fe-S cluster biosynthesis,level_2,23
Hspa9,Fe-S cluster biosynthesis,level_2,23
Iba57,Fe-S cluster biosynthesis,level_2,23
Isca1,Fe-S cluster biosynthesis,level_2,23
Isca2,Fe-S cluster biosynthesis,level_2,23
Iscu,Fe-S cluster biosynthesis,level_2,23
Lyrm4,Fe-S cluster biosynthesis,level_2,23
Ndufab1,Fe-S cluster biosynthesis,level_2,23
Nfs1,Fe-S cluster biosynthesis,level_2,23
Nfu1,Fe-S cluster biosynthesis,level_2,23
Nubpl,Fe-S cluster biosynthesis,level_2,23
