gene_symbol,pathway,level,n_genes
Aldh1l1,Folate and 1-C metabolism,level_2,22
Aldh1l2,Folate and 1-C metabolism,level_2,22
Aldh7a1,Folate and 1-C metabolism,level_2,22
Amt,Folate and 1-C metabolism,level_2,22
Chdh,Folate and 1-C metabolism,level_2,22
Dmgdh,Folate and 1-C metabolism,level_2,22
Fpgs,Folate and 1-C metabolism,level_2,22
Gtpbp3,Folate and 1-C metabolism,level_2,22
Mtfmt,Folate and 1-C metabolism,level_2,22
Mthfd1l,Folate and 1-C metabolism,level_2,22
Mthfd2,Folate and 1-C metabolism,level_2,22
Mthfd2l,Folate and 1-C metabolism,level_2,22
Mthfs,Folate and 1-C metabolism,level_2,22
Mthfsl,Folate and 1-C metabolism,level_2,22
Mto1,Folate and 1-C metabolism,level_2,22
Qdpr,Folate and 1-C metabolism,level_2,22
Sardh,Folate and 1-C metabolism,level_2,22
Sfxn1,Folate and 1-C metabolism,level_2,22
Sfxn3,Folate and 1-C metabolism,level_2,22
Shmt2,Folate and 1-C metabolism,level_2,22
Slc25a32,Folate and 1-C metabolism,level_2,22
Slc25a38,Folate and 1-C metabolism,level_2,22
