gene_symbol,pathway,level,n_genes
Aldh7a1,Glycine metabolism,level_2,15
Amt,Glycine metabolism,level_2,15
Chdh,Glycine metabolism,level_2,15
Dld,Glycine metabolism,level_2,15
Dmgdh,Glycine metabolism,level_2,15
Etfa,Glycine metabolism,level_2,15
Etfb,Glycine metabolism,level_2,15
Etfdh,Glycine metabolism,level_2,15
Gcat,Glycine metabolism,level_2,15
Gcsh,Glycine metabolism,level_2,15
Gldc,Glycine metabolism,level_2,15
Glyat,Glycine metabolism,level_2,15
Sardh,Glycine metabolism,level_2,15
Shmt2,Glycine metabolism,level_2,15
Slc25a38,Glycine metabolism,level_2,15
