gene_symbol,pathway,level,n_genes
Cyb5b,Heme-containing proteins,level_2,12
Cyc1,Heme-containing proteins,level_2,12
Cycs,Heme-containing proteins,level_2,12
Cyp11a1,Heme-containing proteins,level_2,12
Cyp11b2,Heme-containing proteins,level_2,12
Cyp24a1,Heme-containing proteins,level_2,12
Cyp27a1,Heme-containing proteins,level_2,12
Cyp27b1,Heme-containing proteins,level_2,12
Sdhc,Heme-containing proteins,level_2,12
Sdhd,Heme-containing proteins,level_2,12
mt-Co1,Heme-containing proteins,level_2,12
mt-Cytb,Heme-containing proteins,level_2,12
