gene_symbol,pathway,level,n_genes
Aadat,Lysine metabolism,level_2,16
Aass,Lysine metabolism,level_2,16
Acaa2,Lysine metabolism,level_2,16
Acat1,Lysine metabolism,level_2,16
Aldh7a1,Lysine metabolism,level_2,16
Dhtkd1,Lysine metabolism,level_2,16
Dld,Lysine metabolism,level_2,16
Dlst,Lysine metabolism,level_2,16
Echs1,Lysine metabolism,level_2,16
Etfa,Lysine metabolism,level_2,16
Etfb,Lysine metabolism,level_2,16
Etfdh,Lysine metabolism,level_2,16
Gcdh,Lysine metabolism,level_2,16
Hadh,Lysine metabolism,level_2,16
Hadhb,Lysine metabolism,level_2,16
Slc25a29,Lysine metabolism,level_2,16
