gene_symbol,pathway,level,n_genes
Ddx28,Mitochondrial ribosome assembly,level_2,24
Dhx30,Mitochondrial ribosome assembly,level_2,24
Eral1,Mitochondrial ribosome assembly,level_2,24
Fastkd2,Mitochondrial ribosome assembly,level_2,24
Grsf1,Mitochondrial ribosome assembly,level_2,24
Gtpbp10,Mitochondrial ribosome assembly,level_2,24
Malsu1,Mitochondrial ribosome assembly,level_2,24
Mettl17,Mitochondrial ribosome assembly,level_2,24
Mief1,Mitochondrial ribosome assembly,level_2,24
Mpv17l2,Mitochondrial ribosome assembly,level_2,24
Mrm2,Mitochondrial ribosome assembly,level_2,24
Mrm3,Mitochondrial ribosome assembly,level_2,24
Mterf1a,Mitochondrial ribosome assembly,level_2,24
Mterf3,Mitochondrial ribosome assembly,level_2,24
Mterf4,Mitochondrial ribosome assembly,level_2,24
Mtg1,Mitochondrial ribosome assembly,level_2,24
Mtg2,Mitochondrial ribosome assembly,level_2,24
Ngrn,Mitochondrial ribosome assembly,level_2,24
Noa1,Mitochondrial ribosome assembly,level_2,24
Nsun4,Mitochondrial ribosome assembly,level_2,24
Ptcd3,Mitochondrial ribosome assembly,level_2,24
Rbfa,Mitochondrial ribosome assembly,level_2,24
Tfb1m,Mitochondrial ribosome assembly,level_2,24
Ybey,Mitochondrial ribosome assembly,level_2,24
